wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
db11,1,smooth,1.9174355279244338e-27,325.2490564712382,108372540.58006765,0.6323529411764706,189.45215366078435,47,smoothed,3.099175762357884e-14,,2.7573817952539192,3477051.902448843,0.9985469025106243,8.330681571113067e-06,0.9999999999999998,11,343.5757575757575,33.66666666666654,753.9999999999999,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333326, 102.6666666666667, 52.9999999999999, 753.9999999999999, 153.333333333333, 694.9999999999999, 115.66666666666669, 502.33333333333326, 513.0, 719.3333333333333, 33.66666666666654]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.9999999999999,-428.9999999999999,DWT,mdp.39015083020449,0.0,475.33333333333337,800.3333333333334,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.6329966329967,800.3333333333334,0.0,-6.5,19785996.111111112,0.0,0.0,29.999999999999915,0.0,0.9140770569304709,0.19865252212144136,0.7993443164379882,0.3206927441027171,0.8043470646769186,,0.8652214891611687,0.43261074458058435,0.8652214891611687,128,1.4974605769498515,0.9006632410421135,2,0,0,0.8652214891611687,0.8652214891611687,88,0,0,0.6074227408539074,0.8955030738133808,2,63.340350488452465,0.8786583323976006,55.0,3.9247386759581886,0.8866471738616355,1,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,1.25
db12,1,smooth,1.999074239477519e-27,325.0679749444126,135476286.60957098,0.6142857142857143,216.84067871212923,47,smoothed,3.189883345646407e-14,,2.868799839557602,4315712.687075976,0.9988843859968664,8.330681571113064e-06,1.0,11,343.5757575757575,33.666666666666686,753.9999999999998,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333337, 102.66666666666667, 52.99999999999987, 753.9999999999998, 153.33333333333306, 695.0, 115.66666666666673, 502.3333333333334, 513.0, 719.3333333333333, 33.666666666666686]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223393.9999999995,428.9999999999999,-428.9999999999999,DWT,mdp.39015083020449,0.0,475.3333333333335,800.3333333333334,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.6329966329967,800.3333333333334,0.0,-6.5,19785996.111111112,0.0,0.0,30.000000000000057,0.0,0.9122693421123015,0.23559261877977222,1.0,0.24365482233502547,1.0,,0.8652214891611687,0.43261074458058435,0.8652214891611687,139,1.6626198435912771,1.0,1,0,0,0.8652214891611687,0.8652214891611687,109,0,0,0.6783033566454199,1.0,1,72.06247289678588,0.8619492856383413,62.5,1.9837643207855977,0.8711087424360289,2,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,2.0
rbio2.6,1,symmetric,1.309441965568563e-27,326.9054016195365,525129.4302089206,0.6666666666666666,204.4295201884992,47,smoothed,2.6456378459152663e-14,,4.978989888099825,43473.80680025607,0.6833247510706049,8.330681571113064e-06,1.0,11,343.57575757575756,33.666666666666714,753.9999999999999,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333331, 102.66666666666663, 52.99999999999984, 753.9999999999999, 153.33333333333306, 695.0, 115.66666666666674, 502.3333333333335, 513.0, 719.3333333333335, 33.666666666666714]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.9999999999999,-428.9999999999999,DWT,mdp.39015083020449,5.684341886080802e-14,475.33333333333337,800.3333333333334,0.0,-6.5,0.0,-6.5,114.46127946127945,343.0,161.63299663299665,800.3333333333334,0.0,-6.5,19785996.111111112,0.0,0.0,30.000000000000085,0.0,0.9306121487262538,0.9352156003870773,0.0009234641649414443,0.4670050761421318,0.003320421499178928,,0.8652214891611687,0.43261074458058435,0.8652214891611687,108,1.214567020568286,0.7305139688125024,74,0,0,0.8652214891611687,0.8652214891611687,236,0,0,0.4674153421839166,0.6890948387688076,95,73.18640584152223,0.8597961573917199,128.25,106.56329544535424,0.8070532511096531,3,rbio,186.66666666666666,155.0,151.08241301484452,135,0.4191046400870867,1.0,0.4066267519390393,4,3.25
db11,1,periodic,1.6703710061190445e-27,325.8481347420917,659123.8551617569,0.6764705882352942,187.59144843555185,47,smoothed,2.7363454292037897e-14,,4.906268282900943,47269.126467224414,0.813126330275184,8.330681571113067e-06,1.0,11,343.5757575757575,33.6666666666666,753.9999999999998,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333337, 102.66666666666666, 52.99999999999989, 753.9999999999998, 153.33333333333303, 695.0, 115.66666666666667, 502.33333333333337, 513.0, 719.3333333333333, 33.6666666666666]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.9999999999999,-428.9999999999999,DWT,mdp.39015083020449,0.0,475.3333333333335,800.3333333333334,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.63299663299668,800.3333333333334,0.0,-6.5,19785996.111111112,0.0,0.0,29.99999999999997,0.0,0.920057582312876,0.9111051150345097,0.0019154577773056894,0.5088085995819649,0.004205839593053341,,0.8652214891611687,0.43261074458058435,0.8652214891611687,129,1.2137506114636407,0.7300229310639804,75,0,0,0.8652214891611687,0.8652214891611687,235,0,0,0.4692185188599419,0.6917532019603787,85,73.19380665967124,0.8597819795791739,131.0,107.80132200978956,0.8044120625865219,4,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,3.5
db4,1,periodic,9.452903442988805e-28,328.3206119542186,543630.0035377833,0.6851851851851852,192.22038322611868,47,smoothed,1.9350951101551667e-14,,4.713836824470742,47122.1613342125,0.7546141197555192,8.330681571113064e-06,0.9999999999999999,11,343.5757575757575,33.66666666666663,753.9999999999999,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333331, 102.6666666666666, 52.99999999999991, 753.9999999999999, 153.33333333333303, 695.0, 115.66666666666679, 502.3333333333335, 513.0, 719.3333333333333, 33.66666666666663]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.99999999999983,-428.99999999999983,DWT,mdp.39015083020449,0.0,475.33333333333337,800.3333333333335,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.63299663299668,800.3333333333335,0.0,-6.5,19785996.111111112,0.0,0.0,30.0,0.0,0.9447400210591123,0.847305425146395,0.0010604284496403625,0.5459672870840386,0.004171553788600576,,0.8652214891611687,0.43261074458058435,0.8652214891611687,149,1.2110824757825407,0.7284181531038324,80,0,0,0.8652214891611687,0.8652214891611687,230,0,0,0.4686489431055573,0.6909134954355556,88,69.38479660559653,0.8670789337057537,136.75,114.53811752865104,0.8025528768145627,5,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,4.25
db12,1,symmetric,2.3804129579162718e-27,324.3097411151564,741538.7497323279,0.6857142857142857,194.6420563964984,47,smoothed,3.537595748252413e-14,,4.860255706426808,51444.010431939125,0.81929366774542,8.330681571113064e-06,0.9999999999999999,11,343.5757575757575,33.666666666666686,753.9999999999998,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333331, 102.66666666666663, 52.999999999999915, 753.9999999999998, 153.3333333333331, 694.9999999999999, 115.66666666666667, 502.33333333333337, 513.0, 719.3333333333334, 33.666666666666686]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.9999999999999,-428.9999999999999,DWT,mdp.39015083020449,0.0,475.3333333333335,800.3333333333334,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.6329966329967,800.3333333333334,0.0,-6.5,19785996.111111112,0.0,0.0,30.000000000000057,0.0,0.9046999861828929,0.8958498748884824,0.002525595467783898,0.5482233502538072,0.005179807038893624,,0.8652214891611687,0.43261074458058435,0.8652214891611687,141,1.2133689898049493,0.7297934007476171,76,0,0,0.8652214891611687,0.8652214891611687,234,0,0,0.47129572276637205,0.6948155543519444,81,73.5255057786072,0.8591465406540092,133.0,108.49141530318654,0.802178634311679,6,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,5.0
rbio2.2,1,zero,5.875838844675996e-28,330.385565412386,469253.4482290943,0.6730769230769231,205.78364735214097,47,smoothed,1.375731679875939e-14,,4.747312240956205,42493.23302925707,0.5740224809492452,8.330681571113064e-06,0.9999999999999999,11,343.57575757575756,33.66666666666663,754.0,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333331, 102.66666666666661, 52.999999999999844, 754.0, 153.33333333333303, 695.0, 115.66666666666674, 502.33333333333337, 513.0, 719.3333333333334, 33.66666666666663]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223394.0,428.99999999999994,-428.99999999999994,DWT,mdp.39015083020449,5.684341886080802e-14,475.33333333333326,800.3333333333333,0.0,-6.5,0.0,-6.5,114.46127946127945,343.0,161.63299663299665,800.3333333333333,0.0,-6.5,19785996.111111112,0.0,0.0,30.0,0.0,0.9653541998248698,0.8584040324534882,0.0005098005574586907,0.4943381491604844,0.0030916613853003774,,0.8652214891611687,0.43261074458058435,0.8652214891611687,163,1.207641360618709,0.7263484585930302,85,0,0,0.8652214891611687,0.8652214891611687,225,0,0,0.46433956867632037,0.6845603285419858,102,63.6834620080703,0.8780010306358806,143.75,124.42437698006835,0.8013089444367143,7,rbio,186.66666666666666,155.0,151.08241301484452,135,0.4191046400870867,1.0,0.4066267519390393,4,6.25
rbio3.1,1,reflect,3.7403420214189795e-27,322.34715100790714,852909.6496211688,0.72,293.0156456035155,47,smoothed,4.4446715811376485e-14,,4.547114636481691,77406.63301666666,0.6858609260083561,8.330681571113069e-06,1.0,11,343.57575757575745,33.6666666666666,753.9999999999998,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.3333333333333, 102.6666666666666, 52.999999999999886, 753.9999999999998, 153.33333333333303, 694.9999999999998, 115.66666666666677, 502.33333333333326, 512.9999999999999, 719.3333333333331, 33.6666666666666]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223393.9999999986,428.9999999999998,-428.9999999999998,DWT,mdp.39015083020449,5.684341886080802e-14,475.3333333333335,800.3333333333335,0.0,-6.5,0.0,-6.5,114.46127946127956,343.00000000000136,161.63299663299674,800.3333333333335,0.0,-6.5,19785996.111111112,0.0,0.0,29.99999999999997,0.0,0.8851076882767464,0.7920295155942798,0.0033501015719137888,0.6944162436548222,0.011236681773588266,,0.8652214891611687,0.43261074458058435,0.8652214891611687,180,1.2110155917205088,0.7283779249889751,81,0,0,0.8652214891611687,0.8652214891611687,229,0,0,0.47722804617427,0.7035613807580476,65,78.78398737476205,0.8490728211211455,138.75,106.2341881942188,0.7916341117099981,8,rbio,186.66666666666666,155.0,151.08241301484452,135,0.4191046400870867,1.0,0.4066267519390393,4,7.0
rbio3.7,1,symmetric,8.013484055079146e-28,329.0380504009936,587709.2542545942,0.6451612903225806,206.07017936317231,47,smoothed,1.8443875268666433e-14,,4.942726176779022,46802.49292733221,0.5189809896607497,8.330681571113067e-06,1.0,11,343.5757575757575,33.6666666666666,753.9999999999998,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.3333333333333, 102.66666666666663, 52.9999999999999, 753.9999999999998, 153.33333333333306, 695.0, 115.66666666666677, 502.33333333333337, 513.0, 719.3333333333333, 33.6666666666666]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223393.9999999995,428.99999999999983,-428.99999999999983,DWT,mdp.39015083020449,0.0,475.3333333333335,800.3333333333335,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.63299663299668,800.3333333333335,0.0,-6.5,19785996.111111112,0.0,0.0,29.99999999999997,0.0,0.9519021216559813,0.92319254783978,0.0013867579604709022,0.37530702472572447,0.004096977674774069,,0.8652214891611687,0.43261074458058435,0.8652214891611687,98,1.1851925268539136,0.7128463740056685,114,0,0,0.8652214891611687,0.8652214891611687,254,0,0,0.4511770859713462,0.6651553195942639,133,70.95714669197646,0.8640667687893171,149.75,131.4413821853722,0.7885946870766509,9,rbio,186.66666666666666,155.0,151.08241301484452,135,0.4191046400870867,1.0,0.4066267519390393,4,7.75
db12,1,periodization,3.200161124431602e-27,323.0245457212407,499501.7667319276,0.7083333333333334,210.0405915686178,47,smoothed,4.128139910287071e-14,,4.527870760581797,46513.30545910494,0.8055231941371945,8.330681571113067e-06,1.0,11,343.5757575757575,33.66666666666663,754.0,"[3, 5, 7, 13, 18, 27, 30, 32, 36, 40, 45]","[137.33333333333337, 102.66666666666666, 52.99999999999989, 754.0, 153.33333333333306, 695.0, 115.66666666666674, 502.3333333333335, 513.0, 719.3333333333333, 33.66666666666663]","[1, 4, 6, 9, 17, 22, 29, 29, 33, 22, 44]","[9, 9, 9, 22, 22, 38, 31, 38, 38, 44, 46]",0.05,20,2223393.9999999995,428.99999999999983,-428.99999999999983,DWT,mdp.39015083020449,0.0,475.33333333333326,800.3333333333335,0.0,-6.5,0.0,-6.5,114.4612794612795,343.00000000000045,161.63299663299668,800.3333333333335,0.0,-6.5,19785996.111111112,0.0,0.0,30.0,0.0,0.8918700371618539,0.7856493045587544,0.0007337362827706316,0.6446700507614216,0.004029512523124618,,0.8652214891611687,0.43261074458058435,0.8652214891611687,138,1.1877933680316934,0.714410676986777,111,0,0,0.8652214891611687,0.8652214891611687,257,0,0,0.465390528257585,0.6861097231763602,99,72.36193750861014,0.8613755986425093,151.25,132.24256795703272,0.7858123203940516,10,db,211.62962962962962,234.0,112.90593161678468,108,0.4751515701304788,0.7473135314941731,0.44319984146041286,2,8.0
