wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,0.09042426540608593,65.19054265412103,3676948.166081014,0.5124223602484472,116.87421833351047,261,smoothed,0.22831206326159856,,7.144155544061248,53766.58832371033,0.986217719629897,0.00013316189272397422,0.9999969289711971,266.18379024858007,,,,[],[],15,241.11528088716483,44.521869020518125,547.0705815036386,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.42434665412105, 377.85465281280483, 252.96487004578512, 204.63546390376447, 547.0705815036386, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088513, 159.65887588832385, 378.4989344469478, 61.98119136491988]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21233053.317072287,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,17449.31707227975,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.87285664474058,1902.2707866925275,73.87285664474061,,0.0,73.87285664474058,,,39.321869020518136,0.0,37.5,0.47058150363852747,0.401393283517109,,0.18379024858006687,1.0,1.0,0.0,0.6900878322873698,0.6484574271289205,0.03664505599129493,0.772595084564783,2.1825874441105952e-12,0.8532225499875746,0.8532225499875746,0.8532225499261923,,0.9999999998827813,0.1467774500124145,0.434817375253926,,,,,,1.0,1.0,1.0,1.0,1.0,2.6586977075456186,0.9481274878899695,8,1.892968685930576,0.9477982902657687,5,0,0.7617718729210539,0.9513910274349889,7,0,0.5925407714246241,0.9974210291422201,2,2.6457513110645907,0.9972266757745654,5.5,4.132841328413284,0.9957307383065699,1,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,1.0,1
dmey,1,antisymmetric,0.08820843503556111,65.2982913767398,3666976.3322544717,0.5186335403726708,118.42196794399595,261,smoothed,0.2261239138464986,,7.131489797314219,52884.272553697694,0.9867688208705913,0.00013321176922777777,0.9999970049735174,266.18379024859024,,,,[],[],15,241.11451990563504,44.521869020518125,546.9746582642528,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.2650459276543, 377.84624524373186, 252.96486969034652, 204.6354639037649, 546.9746582642528, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088576, 159.65887638906383, 378.48661156630936, 62.24573091223428]","[0, 0, 31, 52, 0, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21232702.08316284,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,17098.083162833005,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.87209566321079,1902.2822014154744,73.87209566321081,,0.0,73.87209566321079,,,39.321869020518136,0.0,24.0,0.3746582642527301,0.401393283517109,,0.18379024859024184,0.9904159710886895,0.9754951797443555,0.0004148399683814308,0.668290212554856,0.6380774478201828,0.12810627011832976,0.7577101549760598,2.1825874441105952e-12,0.8517752338583741,0.8517752338583741,0.8517752337963864,,0.9999999999381433,0.1482247661416186,0.3461842886300521,,,,,,0.979871194500516,1.0,0.0,1.0,1.0,2.5037378350597606,0.8928667058135454,9,1.8901812033795244,0.9464026141430367,6,0,0.6691338292271373,0.8356936556856692,9,0,0.5940728680386936,1.0,1,3.774917217635375,0.9960430637131704,6.25,2.88,0.9947458505148661,2,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,1.75,2
dmey,1,symmetric,0.07817505930144913,65.82271035354343,3665410.4799902383,0.5186335403726708,118.4220440321038,261,smoothed,0.2202426548174506,,7.132856459407765,9038.348561231287,0.9208526392418441,0.0001331711334860683,0.9999983996531732,266.1837902485914,,,,[],[],15,241.192454716846,44.521869020518125,547.6621964464698,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.95493206921168, 377.8561686907677, 252.9648676333312, 204.63546390376487, 547.6621964464698, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088573, 159.6588742870586, 378.50044388454916, 62.01357715036917]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21226541.98256557,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,10937.982565563172,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.95003047442174,1901.1131792473102,73.95003047442177,,0.0,73.95003047442174,,,39.321869020518136,0.0,37.5,1.062196446469784,0.401393283517109,,0.1837902485913787,0.9646562326629989,0.8645362939955675,0.0024338889786011952,0.6706422239453356,0.6364475054860036,0.12810627011832976,0.0180163700955989,2.1825874441105952e-12,1.0,1.0,1.0,,0.9999999999443289,0.0,0.9814696652693199,,,,,,0.6268430174232673,1.0,1.0,1.0,1.0,2.8041563413191133,1.0,1,1.521572900384642,0.7618426042744273,38,0,0.8006927235532582,1.0,1,0,0.46926268361177664,0.7899076171598738,18,17.59734828508735,0.9815541422588183,14.5,1.9213483146067418,0.9831774904166208,3,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,2.5,3
dmey,1,periodic,0.07547130989609548,65.97557366949138,3665045.3890020545,0.5186335403726708,115.26622488322307,261,smoothed,0.21423755529492183,,7.130784061865274,9006.276349099857,0.9240857940850578,0.00013318080610403261,0.999998418323293,266.18379024859104,,,,[],[],15,241.1761005505295,44.521869020518125,547.6822509182475,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.5704649688001, 377.85812312636966, 252.96486751493026, 204.6354639037649, 547.6822509182475, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088573, 159.65887397726937, 378.49848944894734, 62.13267771244608]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21226281.087839864,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,10677.087839856744,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.93367630810525,1901.3584917420576,73.9336763081053,,0.0,73.93367630810525,,,39.321869020518136,0.0,37.5,1.082250918247496,0.401393283517109,,0.18379024859103765,0.9383540765844189,0.8346355876618041,0.0030224232239575155,0.6670756491141752,0.6360674713850473,0.12810627011832976,0.01747530233328962,2.1825874441105952e-12,0.9688958959412706,0.9688958959412706,0.9688958959283169,,0.9999999999424732,0.03110410405873587,1.0,,,,,,0.6118914451281607,1.0,1.0,1.0,1.0,2.7935040809085976,0.9962012601603002,2,1.4939052187370416,0.7479895587612512,43,0,0.7958069364118675,0.9938980497790603,2,0,0.460676682917289,0.7754548435079918,21,19.510680835549195,0.9795485525832818,17.0,3.7352637021716646,0.980864423042165,4,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,3.25,4
dmey,1,reflect,0.07685766555025997,65.89652065503992,3675961.321207905,0.5124223602484472,116.87421833351047,261,smoothed,0.21874950511344748,,7.1442076066954785,8578.225149355632,0.9191923129963274,0.00013322100761669608,0.9999984280666889,266.1837902486016,,,,[],[],15,241.18731608084062,44.521869020518125,547.5006083899503,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.7956313427448, 377.84776112169493, 252.96486727789267, 204.6354639037653, 547.5006083899503, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088632, 159.65887478779877, 378.48812100391075, 62.27811669768363]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21226190.98314809,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,10586.98314808309,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.94489183841637,1901.1902587873906,73.94489183841641,,0.0,73.94489183841637,,,39.321869020518136,0.0,37.5,0.900608389950321,0.401393283517109,,0.18379024860161053,0.9581162816736709,0.8499672649271766,0.0027180636991440688,0.6901774315447917,0.6474301908610498,0.03664505599129493,0.010253951219424844,2.1825874441105952e-12,0.9902267920028548,0.9902267920028548,0.9902267919987946,,1.0,0.009773207997123334,0.8321622784193972,,,,,,0.6067276503847667,1.0,1.0,1.0,1.0,2.7155356812026503,0.9683966764582125,6,1.4866094957651024,0.7443366331685295,47,0,0.7849452927339978,0.9803327414424631,3,0,0.45647260570236475,0.7683781405627725,24,20.248456731316587,0.9787752025877184,20.0,7.105511811023622,0.9789054210003582,5,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,4.0,5
db27,1,antireflect,5.213566610327789e-27,317.582043281046,3510930.7899443377,0.5127388535031847,134.6270160913432,261,smoothed,5.285512342828487e-14,-2.554708000701568e-10,7.099994687260618,46320.842095393025,0.9849694488386864,0.00013379395371588792,1.0,266.0,,,,[],[],15,240.66666666666666,44.60000000000019,546.6000000000003,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.19999999999996, 377.20000000000005, 252.59999999999997, 204.6000000000001, 546.6000000000003, 214.39999999999972, 251.19999999999996, 44.60000000000019, 330.99999999999994, 249.5999999999999, 143.40000000000003, 148.00000000000003, 159.2, 377.4, 62.0]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21215604.000000007,546.6000000000003,-546.6000000000003,0.0,,,,DWT,uc1.b4952553,0.0,,0.0,37.5,18.0,0.0,37.5,,2.2737367544323206e-13,73.42424242424241,1909.0,73.42424242424245,,0.0,73.42424242424241,,,39.400000000000205,0.0,37.5,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,1.537595800352679e-13,4.702908888526399e-26,0.971724579142197,0.6140874524575786,0.47564498769548663,0.04130550002324536,0.646983130080034,0.9999999938166368,5.556683963008885e-09,5.556683963008885e-09,5.138511009616381e-09,,0.0,0.9999999944432728,2.1009330794694213e-13,,,,,,0.0,1.0,1.0,5.664610863712682e-13,5.664610863712682e-13,1.0000000002425227,0.35661349743863036,64,1.4032164196032086,0.7025822102910109,62,0,0.3333333337094276,0.41630618576147943,55,0,0.3928208070569566,0.6612333742051507,61,3.872983346207417,0.9959402690291327,60.5,60.305180641844224,0.9662615391267257,6,db,440.7105263157895,442.5,266.5139256352159,342,0.7147741715196237,0.9166349177305952,0.2246676046170848,4,5.5,6
dmey,1,constant,0.07379362299022478,66.07320421614072,3109312.9080625353,0.577639751552795,66.12754714482355,261,smoothed,0.21269987688915562,,6.825495788757154,18185.863197222396,0.971586322230556,0.000133191492271315,0.999998166328556,266.1837902485908,,,,[],[],15,241.1559456525169,44.521869020518125,547.3553024745066,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.60998899843298, 377.85120696724977, 252.9648686618389, 204.6354639037649, 547.3553024745066, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088576, 159.65887533806125, 378.4935277254294, 62.12965403130181]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21229619.579953797,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,14015.579953789711,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.91352141009264,1901.6608152122467,73.91352141009264,,0.0,73.91352141009264,,,39.321869020518136,0.0,37.5,0.7553024745066068,0.401393283517109,,0.18379024859081028,0.9316190912148352,0.816082084370001,0.0033983075212440372,0.14167767464672631,0.05758895342263693,0.9969878043251581,0.17233766400899136,2.1825874441105952e-12,0.9305631535106701,0.9305631535106701,0.9305631534815776,,0.9999999999412361,0.06943684648933535,0.69789959220333,,,,,,0.8032165325286612,1.0,1.0,1.0,1.0,2.722783323732812,0.9709812836084516,4,1.3385374638675391,0.6701978374706508,80,0,0.7801868693056385,0.9743898581260734,5,0,0.44567022564422765,0.7501945461936159,34,35.65926714520832,0.9626213132649808,30.75,8.131539611360239,0.9651943044312326,7,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,5.5,7
dmey,1,smooth,0.07379362299022478,66.07320421614072,3109312.9080625353,0.577639751552795,66.12754714482355,261,smoothed,0.21269987688915562,,6.825495788757154,18185.863197222396,0.971586322230556,0.000133191492271315,0.999998166328556,266.1837902485908,,,,[],[],15,241.1559456525169,44.521869020518125,547.3553024745066,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.60998899843298, 377.85120696724977, 252.9648686618389, 204.6354639037649, 547.3553024745066, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088576, 159.65887533806125, 378.4935277254294, 62.12965403130181]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21229619.579953797,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,14015.579953789711,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.91352141009264,1901.6608152122467,73.91352141009264,,0.0,73.91352141009264,,,39.321869020518136,0.0,37.5,0.7553024745066068,0.401393283517109,,0.18379024859081028,0.9316190912148352,0.816082084370001,0.0033983075212440372,0.14167767464672631,0.05758895342263693,0.9969878043251581,0.17233766400899136,2.1825874441105952e-12,0.9305631535106701,0.9305631535106701,0.9305631534815776,,0.9999999999412361,0.06943684648933535,0.69789959220333,,,,,,0.8032165325286612,1.0,1.0,1.0,1.0,2.722783323732812,0.9709812836084516,3,1.3385374638675391,0.6701978374706508,81,0,0.7801868693056385,0.9743898581260734,4,0,0.44567022564422765,0.7501945461936159,33,36.58209944768069,0.9616539838074626,30.25,6.389959659345585,0.9649726942098109,8,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,6.25,8
dmey,1,zero,0.07379362299022478,66.07320421614072,3109312.9080625353,0.577639751552795,66.12754714482355,261,smoothed,0.21269987688915562,,6.825495788757154,18185.863197222396,0.971586322230556,0.000133191492271315,0.999998166328556,266.1837902485908,,,,[],[],15,241.1559456525169,44.521869020518125,547.3553024745066,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.60998899843298, 377.85120696724977, 252.9648686618389, 204.6354639037649, 547.3553024745066, 215.31489737637594, 252.11539113563123, 44.521869020518125, 332.00559928920404, 250.0849177334057, 143.4344067911469, 148.16321534088576, 159.65887533806125, 378.4935277254294, 62.12965403130181]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21229619.579953797,547.0013932835171,-547.0013932835171,0.0,,,,DWT,uc1.b4952553,14015.579953789711,,0.0,37.5,18.0,0.0,37.5,,0.401393283517109,73.91352141009264,1901.6608152122467,73.91352141009264,,0.0,73.91352141009264,,,39.321869020518136,0.0,37.5,0.7553024745066068,0.401393283517109,,0.18379024859081028,0.9316190912148352,0.816082084370001,0.0033983075212440372,0.14167767464672631,0.05758895342263693,0.9969878043251581,0.17233766400899136,2.1825874441105952e-12,0.9305631535106701,0.9305631535106701,0.9305631534815776,,0.9999999999412361,0.06943684648933535,0.69789959220333,,,,,,0.8032165325286612,1.0,1.0,1.0,1.0,2.722783323732812,0.9709812836084516,5,1.3385374638675391,0.6701978374706508,82,0,0.7801868693056385,0.9743898581260734,6,0,0.44567022564422765,0.7501945461936159,32,36.06822239405023,0.9621926389999473,31.25,9.75343823565853,0.9647179127913783,9,dmey,15.88888888888889,5.0,33.152844691083615,9,0.02576967581615039,0.11402426718797752,0.9477539467723014,1,7.0,9
coif17,1,antisymmetric,1.385230077710255e-26,313.3381734183169,4007901.9542446267,0.5165745856353591,117.55383157111054,261,smoothed,8.383587566180951e-14,-2.7006177294453015e-10,7.314697031481637,66743.61351124838,0.9896622092075739,0.00013379395371588792,1.0,265.99999999999994,,,,[],[],15,240.66666666666663,44.599999999999966,546.5999999999996,"[6, 20, 42, 62, 78, 97, 118, 138, 152, 172, 186, 203, 222, 240, 256]","[248.2, 377.2000000000002, 252.60000000000002, 204.6000000000002, 546.5999999999996, 214.40000000000003, 251.19999999999982, 44.599999999999966, 330.99999999999994, 249.60000000000002, 143.40000000000015, 147.99999999999994, 159.19999999999996, 377.4000000000001, 62.0]","[1, 1, 31, 52, 1, 93, 112, 136, 112, 165, 183, 197, 197, 112, 255]","[9, 68, 68, 68, 259, 112, 136, 139, 197, 197, 197, 208, 230, 259, 259]",21215604.00000001,546.5999999999996,-546.5999999999996,0.0,,,,DWT,uc1.b4952553,3.725290298461914e-09,,0.0,37.5,18.0,0.0,37.5,,4.547473508864641e-13,73.42424242424238,1909.0000000000005,73.42424242424246,,0.0,73.42424242424238,,,39.39999999999998,0.0,37.5,4.547473508864641e-13,4.547473508864641e-13,,5.684341886080802e-14,2.894543470613514e-13,1.425646636336914e-25,0.9553853892485149,0.9835879760731245,0.9929570982067529,0.09778763560107956,0.9915213610211391,0.9999999938137267,5.556629907559616e-09,5.556629907559616e-09,5.138538037341027e-09,,3.092841937660337e-13,0.9999999944433304,4.2018661589388425e-13,,,,,,2.1349204000539176e-13,1.0,1.0,1.1329221727425365e-12,1.1329221727425365e-12,1.0000000002422471,0.3566134974385321,67,1.997227369338022,1.0,1,0,0.33333333370933865,0.41630618576136835,63,0,0.5744627800215573,0.9669904332074982,3,36.41885958309696,0.9618250947766279,33.5,2.9322681486627302,0.9633548953966997,10,coif,359.4313725490196,273.0,290.7525346023814,153,0.5829501366341252,1.0,0.29193490435611236,3,8.25,10
