wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antireflect,0.5184685446828095,64.47539961243788,34136688.217282556,0.5046296296296297,255.09614371018495,371,smoothed,0.4899842451155228,,7.62599187073678,315826.32383917336,0.9930707628708703,4.309915880054767e-05,0.9999954428606053,765.2264668815158,,,,[],[],15,597.7066748453309,43.223530061561746,1206.6789801017717,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.32004267150501, 642.9616063980902, 46.19835876085767, 559.3488019178355, 604.0440801604443, 1206.6789801017717, 738.3695234055502, 576.9377239851524, 43.223530061561746, 845.9560098481811, 661.3750587673162, 741.6721633490954, 793.8212693374137, 808.2124255645562, 649.4805483506323]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",222074309.87078398,1206.5116499463156,-1206.5116499463156,0.0,,,,DWT,mdp.39015065389044,129054.99078392982,,0.0,21.0,30.0,0.0,16.5,,1.1116499463155378,245.80000817866426,6870.199877320036,247.04622471135247,,0.0,245.80000817866426,,,28.823530061561655,0.0,25.5,1.2789801017715945,1.1116499463155378,,0.226466881515762,1.0,1.0,0.0,0.6611999467555695,0.6487088707842368,0.029996976942315172,0.7288890222565423,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,,0.9999999999999999,0.0,0.47227942983064714,,,,,,1.0000000000000002,1.0,1.0,1.0,1.0,3.0361397149153238,1.0,1,1.858508808449446,0.9385094443568902,7,0,0.8726899524858872,1.0,1,0,0.5812564023912378,1.0,1,3.0,0.9968553459119497,2.5,1.2727272727272727,0.9971174004192872,1,dmey,39.77777777777778,5.0,90.51212319045689,9,0.06119272740358232,0.30234482094051096,0.8664616445353391,1,1.0
dmey,1,antisymmetric,0.5129054278876566,64.52225079196504,33975029.50293474,0.5092592592592593,263.02266605059526,371,smoothed,0.4844665124126461,,7.6198554839402695,308358.1337387497,0.9931440755787349,4.309938758498234e-05,0.9999954862800969,765.2264668815158,,,,[],[],15,597.6863628052831,43.223530061561746,1206.6003732364184,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.319206085684186, 642.9602054239472, 46.198358752067065, 559.3487989343807, 604.0440801604443, 1206.6003732364184, 738.3695234055502, 576.9377239851524, 43.223530061561746, 845.9560098481811, 661.3750587673162, 741.6721633490954, 793.8212693374137, 808.2124256400848, 649.2567150919499]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",222072479.70218801,1206.5116499463156,-1206.5116499463156,0.0,,,,DWT,mdp.39015065389044,127224.82218796015,,0.0,21.0,30.0,0.0,16.5,,1.1116499463155378,245.7796961386165,6870.504557920753,247.02602421608083,,0.0,245.7796961386165,,,28.823530061561655,0.0,25.5,1.2003732364182724,1.1116499463155378,,0.226466881515762,0.9887389589402485,0.9892700977673461,0.00018086233400038676,0.6457630296636959,0.6257003923390112,0.08918020172039548,0.7095546150590959,0.9999999999999999,0.9857626704436963,0.9857626704436963,0.9856802035437441,,0.9999999999999999,0.014237329556319622,0.44325285975467954,,,,,,0.9858186918239077,1.0,1.0,1.0,1.0,3.008816103896795,0.9910005422727094,3,1.8455179014560326,0.9319492984761438,8,0,0.866709535463837,0.9931471457818268,3,0,0.5783411654033992,0.9949845937595775,2,2.70801280154532,0.9971614121577093,4.0,3.0967741935483875,0.9964842700201544,2,dmey,39.77777777777778,5.0,90.51212319045689,9,0.06119272740358232,0.30234482094051096,0.8664616445353391,1,1.75
dmey,1,reflect,0.3172209959234852,66.60900449994182,34124463.953790784,0.5092592592592593,270.0610771572484,371,smoothed,0.41359879424662827,,7.626584172316254,40405.66798432515,0.9523129844305086,4.310034528151864e-05,0.9999978898348648,765.2264668815158,,,,[],[],15,597.6437501774809,43.223530061561746,1207.8888737712266,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.35897739400298, 642.9366110425665, 46.19835856392399, 559.3487935835726, 604.0440801604443, 1207.8888737712266, 738.3695234055502, 576.9377239851524, 43.223530061561746, 845.9560098481811, 661.3750587673162, 741.6721633490954, 793.8212693374137, 808.2124256982001, 647.3128536940062]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",222001225.04782796,1206.5116499463156,-1206.5116499463156,0.0,,,,DWT,mdp.39015065389044,55970.167827904224,,0.0,21.0,30.0,0.0,16.5,,1.1116499463155378,245.73708351081427,6871.143747337786,246.97810874716941,,0.0,245.73708351081427,,,28.823530061561655,0.0,25.5,2.4888737712265083,1.1116499463155378,,0.226466881515762,0.8441063123348123,0.6118423174882399,0.008236479074451242,0.6626899620820019,0.6469690220900672,0.08918020172039548,0.015852123184665216,0.9999999999999999,0.9558941774782724,0.9558941774782724,0.951713721401059,,0.9999999999999999,0.04410582252177009,0.919047828787272,,,,,,0.43369239335820975,1.0,1.0,1.0,1.0,2.957473645240907,0.9740901022150061,9,1.3221215936861173,0.667644724965185,80,0,0.8550290100854046,0.979762638093661,9,0,0.411268059710662,0.7075501586197439,47,34.22839951463307,0.9641211745129632,36.25,15.625072145907886,0.963061635474511,3,dmey,39.77777777777778,5.0,90.51212319045689,9,0.06119272740358232,0.30234482094051096,0.8664616445353391,1,2.5
dmey,1,periodic,0.31720642160890555,66.6092040355932,33963274.516359866,0.5115740740740741,283.79164086905604,371,smoothed,0.4151359146008696,,7.620516094420722,42836.918695957356,0.9491859155792075,4.309866528193177e-05,0.9999978611231299,765.2264668815158,,,,[],[],15,597.6604992661302,43.223530061561746,1208.0264538732122,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.32857611142981, 642.9532198646853, 46.19835867044094, 559.3487968120616, 604.0440801604443, 1208.0264538732122, 738.3695234055502, 576.9377239851524, 43.223530061561746, 845.9560098481811, 661.3750587673162, 741.6721633490954, 793.8212693374137, 808.2124257124855, 647.4402990329197]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",222002362.21444088,1206.5116499463156,-1206.5116499463156,0.0,,,,DWT,mdp.39015065389044,57107.33444082737,,0.0,21.0,30.0,0.0,16.5,,1.1116499463155378,245.75383259946352,6870.892511008047,246.99891134016158,,0.0,245.75383259946352,,,28.823530061561655,0.0,25.5,2.6264538732120855,1.1116499463155378,,0.226466881515762,0.8472433935156145,0.6118142071723314,0.008237249353534759,0.6474248853378802,0.6240273346487837,0.11877181410943494,0.022146391357500256,0.9999999999999999,0.9676341255241744,0.9676341255241744,0.9664603349570365,,0.9999999999999999,0.032365874475846934,0.9698510054995507,,,,,,0.4425038822128101,1.0,1.0,1.0,1.0,2.9928789568957197,0.9857513941775863,7,1.3182972841503102,0.6657135258225275,81,0,0.862204112349466,0.9879844610258753,7,0,0.4113807536421543,0.7077440385168577,46,35.61249780624774,0.9626703377293001,35.25,12.50785277544659,0.9628603260973545,4,dmey,39.77777777777778,5.0,90.51212319045689,9,0.06119272740358232,0.30234482094051096,0.8664616445353391,1,3.25
dmey,1,symmetric,0.3197574932355142,66.57441643684776,33962781.69049001,0.5069444444444444,262.92657011496584,371,smoothed,0.41596550414198186,,7.620561333369376,42830.65923419577,0.9514611751356636,4.310011653927532e-05,0.9999978766172326,765.2264668815158,,,,[],[],15,597.6581874052257,43.223530061561746,1207.8793584520315,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.3598139798238, 642.9380120167095, 46.19835857271505, 559.3487965670276, 604.0440801604443, 1207.8793584520315, 738.3695234055502, 576.9377239851524, 43.223530061561746, 845.9560098481811, 661.3750587673162, 741.6721633490954, 793.8212693374137, 808.2124256226714, 647.5366869526888]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",222003054.0935482,1206.5116499463156,-1206.5116499463156,0.0,,,,DWT,mdp.39015065389044,57799.21354815364,,0.0,21.0,30.0,0.0,16.5,,1.1116499463155378,245.75152073855907,6870.927188921614,246.9924344301379,,0.0,245.75152073855907,,,28.823530061561655,0.0,25.5,2.47935845203142,1.1116499463155378,,0.226466881515762,0.8489364878332016,0.616734605242323,0.008102956762251479,0.647538690077192,0.6239571919815627,0.05958858933135462,0.022130186228692887,0.9999999999999999,0.966013671571363,0.966013671571363,0.9618689607378714,,0.9999999999999999,0.033986328428669,0.915534177935403,,,,,,0.4478650007803566,1.0,1.0,1.0,1.0,2.9668616447363942,0.9771821863669203,8,1.2980189348061015,0.6554733686120884,91,0,0.8576068175854188,0.9827165021695236,8,0,0.40385552963665416,0.6947975591756547,50,39.777506206397604,0.9583045008318684,39.25,14.23543214704732,0.9585809715899384,5,dmey,39.77777777777778,5.0,90.51212319045689,9,0.06119272740358232,0.30234482094051096,0.8664616445353391,1,4.0
db22,1,antireflect,3.7925821214693065e-26,315.83327380845935,32827520.99510672,0.5048309178743962,268.3595699369699,371,smoothed,1.4906554577101887e-13,-3.635044931726837e-10,7.567510096091815,248318.34619269182,0.9910379479471763,4.329828550288683e-05,1.0,765.0000000000001,,,,[],[],15,596.2800000000001,43.2000000000005,1205.3999999999999,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.19999999999959, 641.7999999999997, 45.80000000000041, 558.4000000000003, 602.7999999999995, 1205.3999999999999, 736.6000000000001, 575.8000000000001, 43.2000000000005, 843.9999999999998, 660.1999999999996, 739.8000000000004, 790.6000000000003, 805.5999999999996, 647.0000000000005]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",221945254.88000005,1205.3999999999999,-1205.3999999999999,0.0,,,,DWT,mdp.39015065389044,0.0,,0.0,21.0,30.0,0.0,16.5,,2.2737367544323206e-13,244.37333333333345,6891.5999999999985,245.6355555555556,,0.0,244.37333333333345,,,28.80000000000041,0.0,25.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,2.0478743208416844e-13,6.068540319716284e-26,0.9703314250634804,0.5140810742794623,0.4623783909573356,0.03257016062831867,0.5541175299214534,3.534283947269885e-08,5.174607351554818e-09,5.174607351554818e-09,4.6290299841893915e-09,,5.020020453352843e-13,0.9999999948254298,8.396057893948792e-14,,,,,,0.0,1.0,1.0,2.0453711727944696e-13,2.0453711727944696e-13,0.7000000125094148,0.23055592898791794,70,1.3051036638764573,0.6590510138258261,87,0,0.2500000037622924,0.2864705879220436,70,0,0.3619255115500365,0.6226606882283047,79,8.18535277187245,0.9914199656479324,76.5,75.8669084601435,0.9556156432013247,6,db,403.4824561403509,383.5,257.8776642531025,342,0.6207031495992156,0.861409206577777,0.307085033307216,4,5.5
coif17,1,periodic,1.1428771843962554e-25,311.04262811414264,36242016.465952165,0.510593220338983,283.6273063612379,371,smoothed,2.5996096560214867e-13,-4.239491202540082e-10,7.746025768872013,42605.59657181273,0.9494003407459431,4.329828550288679e-05,1.0,765.0000000000001,,,,[],[],15,596.2800000000001,43.20000000000039,1205.4000000000008,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.199999999999704, 641.7999999999997, 45.800000000000296, 558.4000000000003, 602.8000000000002, 1205.4000000000008, 736.6000000000001, 575.799999999999, 43.20000000000039, 843.9999999999998, 660.1999999999998, 739.8000000000002, 790.5999999999997, 805.6000000000003, 646.9999999999998]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",221945254.88000014,1205.4000000000008,-1205.4000000000008,0.0,,,,DWT,mdp.39015065389044,8.940696716308594e-08,,0.0,21.0,30.0,0.0,16.5,,6.821210263296962e-13,244.37333333333345,6891.5999999999985,245.63555555555558,,0.0,244.37333333333345,,,28.800000000000296,0.0,25.5,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,4.3111189238389744e-13,2.0796897132886003e-25,0.9518378167832184,0.9631615725744518,0.9483549481705593,0.10623299530051936,0.021547521205314838,3.5338007915696436e-08,5.174607351554818e-09,5.174607351554818e-09,4.629009836510411e-09,,5.020020453352843e-13,0.9999999948254298,2.518817368184638e-13,,,,,,6.927819421782414e-13,1.0,1.0,6.136113518383409e-13,6.136113518383409e-13,0.7000000125085533,0.2305559289876342,85,1.5779731570448998,0.7968446014866334,29,0,0.25000000376202797,0.28647058792174057,84,0,0.4273049791477851,0.7351402537501349,33,30.93406967514405,0.9675743504453417,57.75,45.22060246884167,0.9535198796251866,7,coif,377.26797385620915,347.0,244.96994999752263,153,0.5803757165937526,0.8182925453196744,0.3482492347884708,3,6.0
db22,1,antisymmetric,3.733065011426556e-26,315.9019682102166,32684250.00072526,0.5096618357487923,232.59869567495167,371,smoothed,1.458815099268109e-13,-3.626232203401968e-10,7.556254351947517,239884.53733724257,0.9913676828050564,4.329828550288683e-05,1.0,765.0000000000001,,,,[],[],15,596.2800000000001,43.2000000000005,1205.3999999999999,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.19999999999993, 641.8, 45.80000000000041, 558.4000000000003, 602.7999999999995, 1205.3999999999999, 736.6000000000001, 575.8000000000001, 43.2000000000005, 843.9999999999998, 660.1999999999996, 739.8000000000004, 790.6000000000003, 805.5999999999996, 647.0000000000002]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",221945254.88000005,1205.3999999999999,-1205.3999999999999,0.0,,,,DWT,mdp.39015065389044,0.0,,0.0,21.0,30.0,0.0,16.5,,2.2737367544323206e-13,244.37333333333345,6891.5999999999985,245.63555555555556,,0.0,244.37333333333345,,,28.80000000000041,0.0,25.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,1.9828919081223205e-13,5.953746258141803e-26,0.9705966100590336,0.4857657162479809,0.441986990472983,0.09432656909240247,0.532283231055998,3.534283947269885e-08,5.174607351554818e-09,5.174607351554818e-09,4.62898968883143e-09,,5.020020453352843e-13,0.9999999948254298,8.396057893948792e-14,,,,,,0.0,1.0,1.0,2.0453711727944696e-13,2.0453711727944696e-13,0.7000000125094027,0.23055592898791394,71,1.2968782394553218,0.6548973404786872,92,0,0.250000003762289,0.28647058792203967,71,0,0.3607084452755138,0.6205668338302872,81,10.012492197250394,0.9895047251601149,78.75,77.84485231912312,0.9534787776743971,8,db,403.4824561403509,383.5,257.8776642531025,342,0.6207031495992156,0.861409206577777,0.307085033307216,4,7.0
db21,1,antireflect,3.5068947625422e-26,316.17339640812554,32642051.658707585,0.5048543689320388,297.98640632026525,371,smoothed,1.4111503220815055e-13,-3.6002099079723857e-10,7.559456759265084,238462.06787839104,0.9907602735371269,4.329828550288681e-05,1.0,765.0000000000002,,,,[],[],15,596.2800000000001,43.20000000000039,1205.400000000001,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.19999999999993, 641.8000000000004, 45.79999999999961, 558.4000000000005, 602.8, 1205.400000000001, 736.5999999999999, 575.7999999999998, 43.20000000000039, 844.0, 660.2000000000002, 739.7999999999995, 790.5999999999998, 805.6000000000005, 647.0000000000001]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",221945254.88000005,1205.400000000001,-1205.400000000001,0.0,,,,DWT,mdp.39015065389044,0.0,,0.0,21.0,30.0,0.0,16.5,,9.094947017729282e-13,244.37333333333345,6891.5999999999985,245.63555555555564,,0.0,244.37333333333345,,,28.800000000000296,0.0,25.5,9.094947017729282e-13,9.094947017729282e-13,,2.2737367544323206e-13,1.885613724870999e-13,5.517518735365618e-26,0.9716444201223621,0.4938218081950837,0.4359810065292477,0.03286994901892071,0.5286005979985179,3.5338007915696436e-08,5.174607351554818e-09,5.174607351554818e-09,4.629050131868372e-09,,1.0040040906705686e-12,0.9999999948254298,3.358423157579517e-13,,,,,,0.0,1.0,1.0,8.181484691177878e-13,8.181484691177878e-13,0.7000000125085938,0.2305559289876475,82,1.272476278242615,0.6425748424873742,99,0,0.2500000037620565,0.28647058792177327,77,0,0.35184539740918874,0.6053187473922484,90,9.626352718795768,0.9899094835232749,87.0,86.21756941283567,0.9493572574849078,9,db,403.4824561403509,383.5,257.8776642531025,342,0.6207031495992156,0.861409206577777,0.307085033307216,4,7.75
coif16,1,antisymmetric,1.1120307242709794e-25,311.16145587739857,36181722.32933899,0.5085836909871244,262.1650975183393,371,smoothed,2.6395417747292984e-13,-4.3407717420507234e-10,7.735276950168539,403906.27672267973,0.9948728209981272,4.329828550288681e-05,1.0,764.9999999999998,,,,[],[],15,596.2800000000001,43.20000000000027,1205.4000000000005,"[5, 23, 41, 72, 90, 122, 154, 178, 196, 216, 246, 278, 309, 331, 359]","[47.200000000000045, 641.8, 45.79999999999927, 558.4000000000002, 602.8000000000006, 1205.4000000000005, 736.6000000000007, 575.8000000000003, 43.20000000000027, 844.0000000000002, 660.1999999999998, 739.8000000000002, 790.5999999999998, 805.5999999999998, 647.0000000000005]","[1, 1, 39, 32, 77, 1, 140, 159, 190, 140, 221, 251, 294, 326, 354]","[6, 77, 63, 77, 95, 368, 159, 190, 197, 368, 251, 368, 368, 368, 368]",221945254.8800001,1205.4000000000005,-1205.4000000000005,0.0,,,,DWT,mdp.39015065389044,5.960464477539063e-08,,0.0,21.0,30.0,0.0,16.5,,4.547473508864641e-13,244.37333333333345,6891.5999999999985,245.63555555555567,,0.0,244.37333333333345,,,28.800000000000182,0.0,25.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,4.392615664001306e-13,2.0201943775703127e-25,0.9522965345107853,0.9361214545598177,0.9397734352701603,0.0805440229974127,0.9569193284059527,3.5333176358694014e-08,5.174607351554818e-09,5.174607351554818e-09,4.629070279547353e-09,,1.0040040906705686e-12,0.9999999948254298,1.6792115787897585e-13,,,,,,4.618546281188276e-13,1.0,1.0,4.090742345588939e-13,4.090742345588939e-13,0.7000000125071337,0.23055592898716662,96,1.9243107061829383,0.9717380748582498,3,0,0.25000000376161186,0.2864705879212638,96,0,0.5522363965349384,0.9500736581362138,5,53.1224999411737,0.9443160377975118,50.0,7.2180451127819545,0.9459525681650033,10,coif,377.26797385620915,347.0,244.96994999752263,153,0.5803757165937526,0.8182925453196744,0.3482492347884708,3,8.25
