wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
bior2.8,1,reflect,2.7636696868069813e-28,330.39344521096035,108059.71861602995,0.5952380952380952,17.134633455660694,67,smoothed,4.755731463692832e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999979, 26.0, 28.19999999999999, 6.799999999999956, 19.73333333333335, 3.53333333333336, 17.39999999999998, 1.2666666666666764, 37.66666666666664, 12.666666666666691, 1.3333333333333721, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666668]",16,3.4550203844124856,4443.350296185271,0.7707620834387142,6.622767716894227e-05,1.0,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.799999999999956, 44.93333333333334, 17.39999999999998, 3.53333333333336, 7.466666666666695, 69.93333333333332, 15.066666666666661, 4.600000000000079, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[0, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444455,290.0666666666668,-290.0666666666668,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,1.1368683772161603e-13,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,1.1368683772161603e-13,0.0,-10.0,0.0,-10.0,6.0,0.7978796940630201,0.47742580137658064,0.7698960904234128,0.3650793650793651,0.7842811525718142,,0,,43,1.5621329693982804,0.8686928598559105,26,0,0,0.6389124207028386,0.8681640884002801,26,9.814954576223638,0.9841949201671117,31.666666666666668,29.94642857142857,0.9666009490797984,1,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,1.75,1
bior2.8,1,antireflect,2.766984090976598e-28,330.3882399398592,108152.89092253825,0.5952380952380952,17.134633455660694,67,smoothed,4.8419390270154214e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999979, 26.0, 28.19999999999999, 6.799999999999956, 19.73333333333335, 3.53333333333336, 17.39999999999998, 1.2666666666666764, 37.66666666666664, 12.666666666666691, 1.3333333333333721, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666668]",16,3.450238448330968,4440.827894402083,0.7706764130813563,6.622767716894227e-05,1.0,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.799999999999956, 44.93333333333334, 17.39999999999998, 3.53333333333336, 7.466666666666695, 69.93333333333332, 15.066666666666661, 4.600000000000079, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[0, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444455,290.0666666666668,-290.0666666666668,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,1.1368683772161603e-13,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,1.1368683772161603e-13,0.0,-10.0,0.0,-10.0,6.0,0.7978312991422052,0.47510344914171065,0.770993034854202,0.3650793650793651,0.7835775178115248,,0,,45,1.5612097746396354,0.8681794767375706,27,0,0,0.6385169332058016,0.867626693866674,27,10.392304845413264,0.9832652095887064,33.0,31.153846153846153,0.9650625564851745,2,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,2.5,2
bior2.8,1,periodic,2.765023701793555e-28,330.3913179768835,94524.81266399204,0.5952380952380952,15.952491618128175,67,smoothed,4.782244252340598e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999979, 26.0, 28.19999999999999, 6.799999999999956, 19.73333333333335, 3.53333333333336, 17.39999999999998, 1.2666666666666764, 37.66666666666664, 12.666666666666691, 1.3333333333333721, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666668]",16,3.5975107281263017,4046.0662629974213,0.6442732338652841,6.622767716894227e-05,1.0,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.799999999999956, 44.93333333333334, 17.39999999999998, 3.53333333333336, 7.466666666666695, 69.93333333333332, 15.066666666666661, 4.600000000000079, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[0, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444455,290.0666666666668,-290.0666666666668,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,1.1368683772161603e-13,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,1.1368683772161603e-13,0.0,-10.0,0.0,-10.0,6.0,0.7978599165485153,0.5466263851004326,0.6105457398552416,0.3650793650793651,0.6734570731875937,,0,,40,1.4727165877137298,0.8189689414410526,44,0,0,0.5987136959542297,0.8135414388862218,39,2.6457513110645907,0.9957395309000571,41.0,40.88959491660048,0.9648584933083216,3,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,3.25,3
bior2.8,1,symmetric,2.7650825720103626e-28,330.391225512077,94531.41690582201,0.5833333333333334,15.115903034810545,67,smoothed,4.79550064666448e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999979, 26.0, 28.19999999999999, 6.799999999999956, 19.73333333333335, 3.53333333333336, 17.39999999999998, 1.2666666666666764, 37.66666666666664, 12.666666666666691, 1.3333333333333721, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666668]",16,3.5967925938335354,4045.9098972477,0.6444455727684452,6.622767716894227e-05,1.0,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.799999999999956, 44.93333333333334, 17.39999999999998, 3.53333333333336, 7.466666666666695, 69.93333333333332, 15.066666666666661, 4.600000000000079, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[0, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444455,290.0666666666668,-290.0666666666668,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,1.1368683772161603e-13,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,1.1368683772161603e-13,0.0,-10.0,0.0,-10.0,6.0,0.7978590568762907,0.5462776224337402,0.6106234934986414,0.31111111111111134,0.67341345429327,,0,,39,1.4509758182537178,0.8068790287590607,48,0,0,0.5878569476426109,0.7987891212045912,49,5.507570547286102,0.9911311263328726,45.333333333333336,44.85476772616137,0.9590652947821099,4,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,4.0,4
bior2.8,1,antisymmetric,2.764994266685151e-28,330.39136421002496,94555.77830903952,0.5833333333333334,15.115903034810545,67,smoothed,4.7756160551786565e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999979, 26.0, 28.19999999999999, 6.799999999999956, 19.73333333333335, 3.53333333333336, 17.39999999999998, 1.2666666666666764, 37.66666666666664, 12.666666666666691, 1.3333333333333721, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666668]",16,3.5953357772276684,4044.945265097047,0.6444517278103206,6.622767716894227e-05,1.0,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.799999999999956, 44.93333333333334, 17.39999999999998, 3.53333333333336, 7.466666666666695, 69.93333333333332, 15.066666666666661, 4.600000000000079, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[5, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444455,290.0666666666668,-290.0666666666668,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,1.1368683772161603e-13,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,1.1368683772161603e-13,0.0,-10.0,0.0,-10.0,6.0,0.7978603463914912,0.5455701179328943,0.6109103073233402,0.31111111111111134,0.6731443660311953,,0,,44,1.4506586113199347,0.8067026318684808,49,0,0,0.5877192497580066,0.7986020151872585,50,3.214550253664318,0.9948235905738094,47.666666666666664,47.516896855715544,0.9590328366180909,5,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,4.75,5
bior2.6,1,reflect,5.88203610926793e-29,337.1130296984663,111309.94861758355,0.6125,16.526425858000334,67,smoothed,2.606538533933389e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999983, 26.000000000000007, 28.19999999999999, 6.799999999999951, 19.733333333333352, 3.533333333333358, 17.39999999999997, 1.26666666666668, 37.66666666666663, 12.666666666666687, 1.3333333333333757, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666667]",16,3.29082402354163,4572.593314453908,0.8056988373722604,6.622767716894226e-05,0.9999999999999999,14,41.07142857142857,3.533333333333358,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.399999999999984, 6.799999999999951, 44.933333333333344, 17.39999999999997, 3.533333333333358, 7.466666666666699, 69.93333333333331, 15.066666666666668, 4.600000000000082, 17.80000000000001, 6.866666666666676, 45.13333333333338]","[4, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444446,290.0666666666667,-290.0666666666667,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333467,0.0,33.11190476190477,5.684341886080802e-14,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,5.684341886080802e-14,0.0,-10.0,0.0,-10.0,6.0,0.860353627286208,0.3976836678295077,0.8081619854366523,0.4433333333333335,0.8203340450113327,,0,,61,1.6246019543426713,0.9034314911035063,22,0,0,0.665973331779407,0.9049348733072727,22,22.516660498395403,0.9637412874421974,35.0,27.958333333333332,0.953690289453788,6,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,5.5,6
bior2.6,1,antireflect,5.881483615804821e-29,337.1134376458632,111335.29432025718,0.6125,16.526425858000334,67,smoothed,2.5965381431889723e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999983, 26.000000000000007, 28.19999999999999, 6.799999999999951, 19.733333333333352, 3.533333333333358, 17.39999999999997, 1.26666666666668, 37.66666666666663, 12.666666666666687, 1.3333333333333757, 7.066666666666719, 23.200000000000045, 4.733333333333347, 290.0666666666667]",16,3.2898149086636685,4576.065830159186,0.8050083807295071,6.622767716894226e-05,0.9999999999999999,14,41.07142857142857,3.533333333333358,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.399999999999984, 6.799999999999951, 44.933333333333344, 17.39999999999997, 3.533333333333358, 7.466666666666699, 69.93333333333331, 15.066666666666668, 4.600000000000082, 17.80000000000001, 6.866666666666676, 45.13333333333338]","[4, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444446,290.0666666666667,-290.0666666666667,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333467,0.0,33.11190476190477,5.684341886080802e-14,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,5.684341886080802e-14,0.0,-10.0,0.0,-10.0,6.0,0.8603574200919211,0.3971935901387723,0.8084603877026711,0.4433333333333335,0.8213027181117759,,0,,63,1.624895861553918,0.903594931156864,21,0,0,0.6661294898756949,0.9051470633460279,21,24.24871130596428,0.9609521557069818,35.0,27.0,0.9522957235861801,7,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,6.25,7
bior3.9,1,symmetric,2.1300164288104937e-29,341.5244770295522,124698.12269056147,0.5930232558139535,13.017093379524063,67,smoothed,2.527000167990094e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999972, 26.0, 28.19999999999999, 6.7999999999999545, 19.733333333333345, 3.53333333333336, 17.399999999999977, 1.26666666666668, 37.66666666666663, 12.666666666666686, 1.333333333333373, 7.066666666666717, 23.20000000000004, 4.733333333333341, 290.06666666666666]",16,3.497077698494586,5069.7092168158115,0.7734078983945945,6.622767716894227e-05,0.9999999999999999,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.7999999999999545, 44.93333333333332, 17.399999999999977, 3.53333333333336, 7.466666666666697, 69.93333333333331, 15.066666666666663, 4.600000000000077, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[5, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444443,290.06666666666666,-290.06666666666666,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,0.0,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,0.0,0.0,-10.0,0.0,-10.0,6.0,0.9013681374084204,0.4978509797324143,0.965784819282462,0.35503875968992277,0.9590066510671225,,0,,66,1.7982569462553086,1.0,1,0,0,0.7358098694360684,0.9998298418305509,2,37.242448899072144,0.9400282626423959,23.0,1.98,0.9514956128026795,8,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,7.0,8
bior3.9,1,periodic,2.1653937497232737e-29,341.4529377723847,114211.61437437501,0.5813953488372093,12.64143229541701,67,smoothed,2.558484104509315e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999972, 26.0, 28.19999999999999, 6.7999999999999545, 19.733333333333345, 3.53333333333336, 17.399999999999977, 1.26666666666668, 37.66666666666663, 12.666666666666686, 1.333333333333373, 7.066666666666717, 23.20000000000004, 4.733333333333341, 290.06666666666666]",16,3.5434827325361202,4703.983491909676,0.7482229761262061,6.622767716894227e-05,0.9999999999999999,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.7999999999999545, 44.93333333333332, 17.399999999999977, 3.53333333333336, 7.466666666666697, 69.93333333333331, 15.066666666666663, 4.600000000000077, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[5, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444443,290.06666666666666,-290.06666666666666,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,0.0,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,0.0,0.0,-10.0,0.0,-10.0,6.0,0.9007030161076273,0.52038763281151,0.8423241330876863,0.30232558139534904,0.8569858966848677,,0,,67,1.685502283846261,0.9372978023836649,15,0,0,0.6845452520174081,0.9301706860428122,19,28.93671255228094,0.9534030393683076,33.666666666666664,22.35076082715568,0.9495947027222644,9,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,7.75,9
bior3.9,1,reflect,2.1213606672455102e-29,341.54216143906774,113943.26129803697,0.5930232558139535,13.886860616486233,67,smoothed,2.6264231254192125e-15,,"[6, 9, 13, 17, 19, 21, 25, 28, 32, 37, 40, 44, 47, 52, 56, 60]","[259.4666666666667, 5.799999999999972, 26.0, 28.19999999999999, 6.7999999999999545, 19.733333333333345, 3.53333333333336, 17.399999999999977, 1.26666666666668, 37.66666666666663, 12.666666666666686, 1.333333333333373, 7.066666666666717, 23.20000000000004, 4.733333333333341, 290.06666666666666]",16,3.5607086429642236,4716.769352175696,0.7488483332803967,6.622767716894227e-05,0.9999999999999999,14,41.07142857142857,3.53333333333336,260.0,"[6, 9, 13, 18, 21, 23, 26, 32, 37, 40, 44, 50, 53, 56]","[260.0, 18.06666666666666, 57.39999999999998, 6.7999999999999545, 44.93333333333332, 17.399999999999977, 3.53333333333336, 7.466666666666697, 69.93333333333331, 15.066666666666663, 4.600000000000077, 17.80000000000001, 6.8666666666666725, 45.13333333333338]","[5, 7, 7, 17, 17, 22, 25, 22, 7, 39, 42, 47, 52, 52]","[60, 11, 17, 19, 22, 28, 28, 34, 60, 52, 52, 52, 54, 60]",0.05,30,163202.12444444443,290.06666666666666,-290.06666666666666,DWT,uc1.b4952555,0.0,-10.0,4082339.8133333335,2.7333333333333485,0.0,33.11190476190477,0.0,0.0,33.11190476190477,18.466666666666697,35.63095238095241,10.0,0.0,0.0,-10.0,0.0,-10.0,6.0,0.90153255451207,0.5287534141390763,0.8391647349402558,0.35503875968992277,0.8605525670636066,,0,,70,1.71111513794832,0.9515409583216388,11,0,0,0.6970084060689864,0.9471058127130341,11,34.06366588218791,0.9451470758740935,30.666666666666668,15.298013245033111,0.9478821799123553,10,bior,243.72592592592594,177.0,211.8750487035432,135,0.49713211894576803,1.0,0.3520075167379624,4,8.5,10
