wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,0.5258814544183351,64.8425394832735,44753258.743388966,0.5105540897097626,193.94049101845664,698,smoothed,0.5381780881504195,,8.328968578709523,185126.0064401169,0.9930439793811513,6.545068980286627e-05,0.9999977711760271,688.7770801678175,,,,[],[],16,825.5534566771344,77.86847183811665,1267.638454120896,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[287.76592490443, 1267.638454120896, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587173227317, 1159.44036177528]","[1, 1, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 53, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 695]",341469224.17318064,1267.585043857214,-1267.585043857214,0.0,,,,DWT,inu.32000013025095,232573.41318058968,,0.0,-0.5,60.0,0.0,4.0,,1.185043857213941,461.0929303613449,14490.14469316585,461.0929303613449,,0.0,461.0929303613449,,,76.26847183811662,0.0,-23.0,1.2384541208959945,1.185043857213941,,0.32291983218249243,0.9994790921170819,1.0,0.0,0.6878642163047846,0.6543265899107357,0.1313765886297375,0.6847402741725529,0.999999999999153,0.9919007720649433,0.9919007720649433,0.9919007720637583,,0.999999999999648,0.008099227935056685,0.41522384981555965,,,,,,0.9999999999999999,0.5,0.0,0.9999999999957788,0.9999999999957788,1.0,3.0543722337312835,0.9625482021793424,6,1.8973858758638007,0.9405627471356692,4,0,0.7614634918411244,1.0,1,0,0.5939695373049847,1.0,1,2.449489742783178,0.9974324006889065,3.0,1.6551724137931032,0.9971438733004281,1,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,1.0,1
dmey,1,antisymmetric,0.5207988648131394,64.88471774780427,44604548.05084142,0.5065963060686016,178.61713625560301,698,smoothed,0.538458575467005,,8.325966437800403,180989.57320702873,0.9925643271901126,6.545686960859427e-05,0.9999978321509602,688.7770801678175,,,,[],[],16,825.5694073562771,77.86847183811665,1267.6562400775827,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[287.84252568771706, 1267.6562400775827, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587171238542, 1159.6011861004683]","[0, 0, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 53, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 696]",341467228.48194695,1267.585043857215,-1267.585043857215,0.0,,,,DWT,inu.32000013025095,230577.72194689512,,0.0,-5.0,60.0,0.0,4.0,,1.1850438572148505,461.10888104048763,14489.889482299566,461.10888104048763,,0.0,461.10888104048763,,,76.26847183811662,0.0,-23.0,1.2562400775825608,1.1850438572148505,,0.32291983218249243,1.0,0.9903351039241013,0.00016224382873275545,0.6755778924272011,0.6295163059499008,0.06403495873675966,0.6642949584626319,0.999999999999153,1.0,1.0,0.9999999999999999,,0.999999999999648,0.0,0.4211870528793162,,,,,,0.991419091260681,0.0,0.0,0.9999999999965463,0.9999999999965463,1.0,3.006303072068187,0.9473997914427248,7,1.838177474720008,0.911212251202435,8,0,0.7240466264716838,0.9508619050416045,7,0,0.5748459233327612,0.9678037125287721,3,2.217355782608345,0.9976757276911862,6.25,5.3759999999999994,0.9955621825038741,2,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,1.75,2
dmey,1,reflect,0.43767158223867725,65.63993454668231,44746708.95765871,0.5052770448548812,191.52685574648928,698,smoothed,0.514481452758299,,8.328885275400127,54180.753812423674,0.9744125152537542,6.545679499955488e-05,0.9999986952659521,688.7770801678175,,,,[],[],16,825.5627215446868,77.86847183811665,1269.382617981713,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[286.13773909865483, 1269.382617981713, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587138623893, 1159.4726250614215]","[0, 0, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 697, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 697]",341410882.0942045,1267.585043857219,-1267.585043857219,0.0,,,,DWT,inu.32000013025095,174231.33420443535,,0.0,-5.0,60.0,0.0,4.0,,1.1850438572189432,461.10219522889736,14489.99645528501,461.1021952288974,,0.0,461.10219522889736,,,76.26847183811662,0.0,-23.0,2.9826179817130196,1.1850438572189432,,0.32291983218249243,0.9554708127957428,0.8322628199976653,0.0030672771755613226,0.6875232957849656,0.6532338504374233,0.041587748772432445,0.037511882022289805,0.999999999999153,0.9966051657414795,0.9966051657414795,0.9966051657410117,,0.999999999999648,0.003394834258520496,1.0,,,,,,0.7491455356900464,0.0,0.0,0.9999999999999999,0.9999999999999999,1.0,3.1732148341410453,1.0,1,1.4898577275717422,0.7385449079767328,59,0,0.7494119897824103,0.9841732372098694,2,0,0.45866538385515443,0.7722035475695518,29,27.427176303804956,0.9712503393041877,22.75,2.578263326426822,0.9737016895682364,3,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,2.5,3
dmey,1,periodic,0.44000456923681364,65.61684617258705,44515803.401027806,0.5079155672823219,178.61713625560301,698,smoothed,0.5138033207966897,,8.325073906873696,54983.881166665866,0.9757167576551622,6.544972295375328e-05,0.9999986702391821,688.7770801678175,,,,[],[],16,825.5466307688051,77.86847183811665,1269.2398459205663,"[13, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[286.11759564799684, 1269.2398459205663, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587151348351, 1159.3780868866722]","[0, 0, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 695, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 695]",341413326.73005044,1267.5850438572174,-1267.5850438572174,0.0,,,,DWT,inu.32000013025095,176675.97005039454,,0.0,-0.5,60.0,0.0,-0.5,,1.1850438572173516,461.08610445301565,14490.253907699118,461.0861044530156,,0.0,461.08610445301565,,,76.26847183811662,0.0,-23.0,2.8398459205661766,1.1850438572173516,,0.32291983218249243,0.9542114179369623,0.8366991563212515,0.0029784649341355607,0.6719251911156218,0.6147105113956409,0.08648216870108497,0.04148153205348258,0.999999999999153,0.9884348013105007,0.9884348013105007,0.9884348013087796,,0.999999999999648,0.011565198689499345,0.9521319652660164,,,,,,0.7596567794841121,0.5,0.0,0.9999999999986569,0.9999999999986569,0.0,3.0012682928977807,0.9458131421190684,9,1.4845733296917794,0.7359253523817629,61,0,0.7068198728742708,0.9282386883253824,9,0,0.45835549177974,0.7716818169824572,30,24.58149710656371,0.9742332315444825,27.25,14.708640321500335,0.9728346451223461,4,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,3.25,4
dmey,1,symmetric,0.4373892145444817,65.64273734018337,44605372.35198832,0.5065963060686016,178.61713625560301,698,smoothed,0.5118970825345395,,8.32459531764667,55144.13440374706,0.9759186199484101,6.545061583750221e-05,0.9999986804114406,688.7770801678175,,,,[],[],16,825.5430489982186,77.86847183811665,1269.3749905770558,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[286.0611383153688, 1269.3749905770558, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587140612667, 1159.2420923069951]","[1, 1, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 53, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 697]",341412874.04069793,1267.5850438572177,-1267.5850438572177,0.0,,,,DWT,inu.32000013025095,176223.28069788218,,0.0,-5.0,60.0,0.0,4.0,,1.185043857217579,461.08252268242916,14490.311216028502,461.08252268242916,,0.0,461.08252268242916,,,76.26847183811662,0.0,-23.0,2.974990577055678,1.185043857217579,,0.32291983218249243,0.950671241683855,0.8317258782747291,0.0030780584619376494,0.6699665547872279,0.6296538289832048,0.06403495873675966,0.042273622204836436,0.999999999999153,0.9866160965311321,0.9866160965311321,0.9866160965291739,,0.999999999999648,0.013383903468867864,0.9974427148551687,,,,,,0.7577103431037816,0.0,0.0,0.9999999999988487,0.9999999999988487,1.0,3.1722229675904496,0.9996874253391469,2,1.478417358809011,0.7328737449262432,63,0,0.7483373270012118,0.9827619249241022,3,0,0.45591487759036436,0.7675728281604893,32,28.902133715927157,0.9697042623522776,25.0,4.543098591549296,0.9717494058092625,5,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,4.0,5
coif16,1,periodic,8.67456733355881e-26,312.66893981264013,46091620.491683066,0.51010101010101,212.76444210439107,698,smoothed,2.211704235864439e-13,-7.928487644193186e-10,8.39154524025074,54528.38202802265,0.9732109230214803,6.571710287375675e-05,0.9999999999999999,689.1000000000004,,,,[],[],16,823.6000000000003,77.59999999999991,1266.4000000000005,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[285.4, 1266.4000000000005, 1035.0000000000005, 886.2000000000005, 747.8000000000005, 1087.5999999999995, 1066.1999999999996, 644.0000000000001, 919.8000000000006, 77.59999999999991, 726.2000000000003, 1029.2000000000003, 750.5999999999997, 841.6000000000006, 657.6000000000005, 1156.3999999999999]","[2, 2, 55, 55, 188, 55, 297, 350, 375, 431, 375, 375, 535, 615, 641, 55]","[26, 52, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 695]",341236650.76000017,1266.4000000000005,-1266.4000000000005,0.0,,,,DWT,inu.32000013025095,1.1920928955078125e-07,,0.0,-0.5,60.0,0.0,4.0,,4.547473508864641e-13,459.13947368421077,14521.399999999996,459.13947368421077,,0.0,459.13947368421077,,,75.99999999999989,0.0,4.0,4.547473508864641e-13,4.547473508864641e-13,,3.410605131648481e-13,3.3217710301498094e-13,1.5487981978722194e-25,0.9532944159224993,0.9439605003059306,0.8776133922829317,0.12366744581370495,0.039230118052487106,7.991519704207532e-09,4.2182427273420785e-09,4.2182427273420785e-09,4.071935115106164e-09,,1.056177042021946e-12,0.9999999957817572,1.5246583829193143e-13,,,,,,5.125662814184916e-13,0.5,1.0,3.837388364289433e-13,3.837388364289433e-13,1.0,0.8500000040418747,0.26786714687471214,71,1.5479226213945072,0.7673285501134265,40,0,0.2692307704833989,0.3535701624150519,71,0,0.4196808389111266,0.7065696345562478,58,14.674240468703426,0.9846181965736861,60.0,56.80979479220556,0.9608625574063399,6,coif,322.5947712418301,271.0,243.80777150485673,153,0.5058059790608278,0.8942968863780819,0.37764674874399595,3,5.25,6
db36,1,antireflect,4.640526149913246e-26,315.38574579393065,45386331.48041679,0.5130208333333334,217.0968840113078,698,smoothed,1.6521009329765866e-13,-6.499364157974704e-10,8.335898736266671,201391.7870486917,0.9933832073903357,6.571710287375679e-05,1.0,689.0999999999999,,,,[],[],16,823.5999999999999,77.5999999999998,1266.3999999999994,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[285.4, 1266.3999999999994, 1035.0000000000005, 886.2000000000002, 747.8, 1087.6, 1066.1999999999996, 643.9999999999995, 919.8000000000001, 77.5999999999998, 726.2, 1029.2, 750.5999999999997, 841.5999999999999, 657.6, 1156.3999999999996]","[2, 2, 55, 55, 188, 55, 297, 350, 375, 431, 375, 375, 535, 615, 641, 55]","[26, 51, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 697]",341236650.76,1266.3999999999994,-1266.3999999999994,0.0,,,,DWT,inu.32000013025095,5.960464477539063e-08,,0.0,-0.5,60.0,0.0,4.0,,6.821210263296962e-13,459.13947368421043,14521.400000000001,459.13947368421043,,0.0,459.13947368421043,,,75.99999999999977,0.0,4.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,2.282502034568204e-13,7.816973332662368e-26,0.9637449408369839,0.7162260297064019,0.7599458571231562,0.17334819476095112,0.7651378053475804,7.99109624513037e-09,4.21806954808049e-09,4.21806954808049e-09,4.071761935844551e-09,,3.520590140073153e-13,0.9999999957819304,2.2869875743789716e-13,,,,,,2.562831407092458e-13,0.5,1.0,5.756082546434149e-13,5.756082546434149e-13,1.0,0.8500000040413132,0.26786714687453517,73,1.6917273079604505,0.838614698475773,17,0,0.2692307704833012,0.35357016241492356,72,0,0.48262897539647176,0.8125483633155701,17,32.045540511382654,0.9664092866756995,44.75,27.541650612622337,0.9597507649311412,7,db,428.67836257309943,421.5,250.45064732303067,342,0.6721376110616994,0.9186632268114543,0.2539047042133741,4,6.25,7
db23,1,antireflect,4.280334867051313e-26,315.7366405683945,43776195.97338716,0.5134770889487871,216.6735848656467,698,smoothed,1.5663083692198073e-13,-7.776860266872632e-10,8.29464632297055,151150.36398704158,0.9919204519285028,6.57171028737568e-05,0.9999999999999999,689.1000000000001,,,,[],[],16,823.6000000000001,77.59999999999968,1266.4000000000003,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[285.39999999999986, 1266.4000000000003, 1035.0000000000005, 886.2000000000003, 747.8000000000002, 1087.6, 1066.2, 643.9999999999997, 919.7999999999998, 77.59999999999968, 726.2000000000005, 1029.2000000000003, 750.6000000000005, 841.5999999999999, 657.6000000000005, 1156.4000000000003]","[2, 2, 55, 55, 188, 55, 297, 350, 375, 431, 375, 375, 535, 615, 641, 55]","[26, 695, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 695]",341236650.7600001,1266.4000000000003,-1266.4000000000003,0.0,,,,DWT,inu.32000013025095,5.960464477539063e-08,,0.0,-0.5,60.0,0.0,4.0,,2.2737367544323206e-13,459.13947368421066,14521.399999999998,459.1394736842106,,0.0,459.13947368421066,,,75.99999999999966,0.0,4.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,2.1231721108458858e-13,7.13204466701788e-26,0.9650947003001734,0.5473996735055743,0.4913174319542257,0.1811113772838501,0.516807493136965,7.990672786053207e-09,4.218185000921549e-09,4.218185000921549e-09,4.071848525475358e-09,,3.520590140073153e-13,0.999999995781815,7.623291914596572e-14,,,,,,2.562831407092458e-13,0.5,1.0,1.9186941821447165e-13,1.9186941821447165e-13,1.0,0.8500000040409941,0.26786714687443464,93,1.3775829210783939,0.6828885959039799,91,0,0.2692307704832134,0.3535701624148083,106,0,0.3859615251687145,0.6498002017408772,85,8.845903006477066,0.9907275649827284,93.75,93.15244025162225,0.946228562365578,8,db,428.67836257309943,421.5,250.45064732303067,342,0.6721376110616994,0.9186632268114543,0.2539047042133741,4,7.0,8
dmey,1,smooth,0.4495894121031509,65.52325728726156,41592087.53839808,0.5382585751978892,115.4111864203852,698,smoothed,0.5251701208763517,,8.206805765440741,81153.21119245133,0.9861142727124123,6.545376377637576e-05,0.9999985211756575,688.7770801678175,,,,[],[],16,825.551960023426,77.86847183811665,1268.4838309194636,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[286.95183200154247, 1268.4838309194636, 1037.6159120750597, 888.1104269092559, 749.2497849451536, 1090.5532329304017, 1068.429557659507, 645.315923983601, 922.068747229589, 77.86847183811665, 728.1909884517794, 1031.5397780129142, 751.9850341421031, 843.4239905333309, 659.6587155925604, 1159.3851331504375]","[0, 0, 53, 53, 188, 53, 297, 350, 375, 431, 375, 375, 535, 615, 641, 53]","[26, 53, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 697]",341440030.6670924,1267.5850438572165,-1267.5850438572165,0.0,,,,DWT,inu.32000013025095,203379.90709233284,,0.0,-5.0,60.0,0.0,4.0,,1.1850438572164421,461.0914337076365,14490.168639625184,461.0914337076365,,0.0,461.0914337076365,,,76.26847183811662,0.0,-23.0,2.0838309194634803,1.1850438572164421,,0.32291983218249243,0.9753213056749458,0.8549253987297023,0.0026184638944778404,0.18791037168086644,0.12692971009616905,0.6027679978805824,0.17082973717242603,0.999999999999153,0.9911408207540563,0.9911408207540563,0.99114082075276,,0.999999999999648,0.008859179245943705,0.6986583371520697,,,,,,0.8744761678086199,0.0,0.0,0.9999999999978894,0.9999999999978894,1.0,3.083023580780304,0.9715773251812763,5,1.2739818441867128,0.6315319821929753,133,0,0.7350320112663141,0.9652885780368771,4,0,0.41732899787559574,0.7026101031530013,59,60.85707299347656,0.9362085188747625,50.25,8.430495682419457,0.9417677814499599,10,dmey,13.0,5.0,21.38924963620744,9,0.020383088363392966,0.07845664325446981,0.9621948451692839,1,7.75,9
db23,1,antisymmetric,4.2764506877403337e-26,315.7405833521572,43631965.60429596,0.5107816711590296,205.52395053586517,698,smoothed,1.5778114249706514e-13,-7.77259634432426e-10,8.294028519660092,147276.67202666588,0.9913313696651119,6.571710287375679e-05,0.9999999999999999,689.1000000000001,,,,[],[],16,823.6000000000001,77.59999999999968,1266.4000000000003,"[11, 48, 102, 156, 210, 257, 315, 355, 399, 436, 477, 523, 582, 621, 658, 692]","[285.4000000000001, 1266.4000000000003, 1035.0000000000005, 886.2000000000003, 747.8000000000002, 1087.6, 1066.2, 643.9999999999997, 919.7999999999998, 77.59999999999968, 726.2000000000005, 1029.2000000000003, 750.6000000000005, 841.5999999999999, 657.6000000000004, 1156.3999999999999]","[2, 2, 55, 55, 188, 55, 297, 350, 375, 431, 375, 375, 535, 615, 641, 55]","[26, 695, 134, 188, 215, 297, 615, 375, 405, 438, 509, 615, 615, 641, 670, 695]",341236650.7600001,1266.4000000000003,-1266.4000000000003,0.0,,,,DWT,inu.32000013025095,5.960464477539063e-08,,0.0,-0.5,60.0,0.0,4.0,,2.2737367544323206e-13,459.13947368421066,14521.399999999998,459.1394736842106,,0.0,459.13947368421066,,,75.99999999999966,0.0,4.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,2.1445350462227964e-13,7.124658631099812e-26,0.9651098666978584,0.5448713006560935,0.46725462684164387,0.13524888361010518,0.49766083933403715,7.990672786053207e-09,4.218185000921549e-09,4.218185000921549e-09,4.071848525475358e-09,,3.520590140073153e-13,0.999999995781815,7.623291914596572e-14,,,,,,2.562831407092458e-13,0.5,1.0,1.9186941821447165e-13,1.9186941821447165e-13,1.0,0.8500000040409941,0.26786714687443464,92,1.338292772945305,0.6634118778923621,106,0,0.2692307704832134,0.3535701624148083,105,0,0.3728779310199932,0.6277728193130082,97,6.683312551921141,0.9929944312872944,100.0,99.65962412461553,0.944086314176142,9,db,428.67836257309943,421.5,250.45064732303067,342,0.6721376110616994,0.9186632268114543,0.2539047042133741,4,7.75,10
