wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,smooth,0.8853700821656771,61.18918046864039,165756859.18097302,0.5615384615384615,421.94343441969704,330,raw,0.6117530381761859,,4.661886787999258,1977951.1031859727,0.9954866069173685,7.370799293522068e-06,0.9999925737104078,572.0677955668652,,,,[],[],14,647.4130441327186,231.0848822422908,1081.694199618229,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[765.5587003494237, 431.13707991672305, 792.0518926102236, 704.0589795569574, 231.0848822422908, 756.3596709872762, 1081.694199618229, 675.5424331639592, 561.0699308593433, 824.2530048762184, 318.8482109404709, 686.2370391926058, 569.9640813406642, 665.9225122036727]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 95, 95, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104625545.47028115,1081.076189038288,-1081.076189038288,0.0,,,,DWT,inu.32000013032893,120137.47028115392,,0.0,16.0,31.0,0.0,25,,1.076189038288021,274.2130441327186,7730.21738214194,274.2130441327185,,0.0,274.2130441327186,,,224.0848822422908,0.0,20.5,2.6941996182290495,1.076189038288021,,0.06779556686524302,1.0,1.0,0.0,0.0,0.5917625241010078,0.3559536354056897,0.6144976164228767,1.0,0.7853257280853841,0.7853257280853841,0.78532572802829,,0.999980617031725,0.2146742719146254,0.9999999999999155,,,,,,1.0,0.0,0.5,0.9999999999995774,0.9999999999995774,3.064120599732681,0.9980218212949529,3,1.5840617627819304,0.9503514712232404,2,0,0.7558860060953733,0.9725902957947795,7,0,0.5088876822756535,1.0,1,2.6299556396765835,0.9972432330821001,3.25,2.0240963855421685,0.9969182622433561,1,dmey,99.11111111111111,97.0,96.05915422858517,9,0.14835174454228744,0.2956563598656247,0.8074568708607113,1,1.0
coif15,1,smooth,3.6401159362716904e-26,315.0492767338676,190827123.52888593,0.5574162679425837,416.9278406022937,330,raw,1.4175327578413993e-13,-3.381078750308599e-10,5.217498419973237,2364628.4021800095,0.9964843604496315,7.405199226499847e-06,1.0,571.9999999999998,,,,[],[],14,646.0714285714287,231.00000000000023,1079.0000000000005,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[763.9999999999999, 430.99999999999966, 789.0, 702.0000000000003, 231.00000000000023, 754.0000000000001, 1079.0000000000005, 673.0, 558.9999999999999, 828.0000000000002, 317.9999999999999, 685.0000000000002, 569.0000000000005, 662.9999999999999]","[0, 19, 34, 69, 95, 92, 116, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1080.0000000000005,-1080.0000000000005,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,4.547473508864641e-13,272.8714285714287,7748.999999999998,272.8714285714286,,0.0,272.8714285714287,,,224.00000000000023,0.0,20.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.965375503295945e-13,3.8709344470191715e-26,0.9536823515740384,0.18575706817827187,0.6896145545208084,0.2963229992790184,0.7373847998614604,5.082422536617727e-08,5.162690610546185e-09,5.162690610546185e-09,4.896766693265618e-09,,3.3537483168838365e-12,0.9999999948372809,1.6878754930020372e-13,,,,,,0.0,1.0,0.5,4.2255341274398643e-13,4.2255341274398643e-13,0.6500000172344826,0.2117130119156224,30,1.4233783419502135,0.8539501004077341,12,0,0.20833333840733514,0.2680602387021016,30,0,0.4089659676305421,0.8036468200639488,7,12.010412149464313,0.987410469445006,19.75,13.658536585365855,0.9833540816826707,2,coif,348.4117647058824,285.0,233.4365835615567,153,0.5215105807383089,0.7184844704237421,0.41939725235606107,2,2.0
dmey,1,antireflect,0.4996406405720835,63.673851328855875,15864689.835149003,0.5666666666666667,417.5501443160542,330,raw,0.5296345175153288,,7.491559879993983,168036.29815205056,0.9403888694893869,7.370701425451638e-06,0.9999971963651709,572.0677956384477,,,,[],[],14,647.7596741762092,231.0848822422908,1081.694199618229,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[766.4303212524158, 431.11686057963857, 792.0518927861782, 704.0589795569574, 231.0848822422908, 756.3596709872762, 1081.694199618229, 675.5424331639592, 561.0699308593433, 828.4225048463212, 318.8482109404709, 686.2370391926054, 569.9640811221138, 665.7544313191291]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 95, 95, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104607503.6487545,1081.076189038288,-1081.076189038288,0.0,,,,DWT,inu.32000013032893,102095.6487545073,,0.0,16.0,31.0,0.0,25,,1.076189038288021,274.55967417620917,7725.3645615330715,274.5596741762092,,0.0,274.55967417620917,,,224.0848822422908,0.0,20.5,2.6941996182290495,1.076189038288021,,0.06779563844770564,0.8657652426121508,0.5643297087133637,0.009334222998095942,0.9460417083141675,0.006716714014105882,0.43013698630136915,0.03930136561364058,1.0,0.9882284800698807,0.9882284800698807,0.9882284800668499,,0.9999816728688313,0.011771519930100283,0.9999999999999155,,,,,,0.8498235272939916,0.0,0.5,0.9999999999995774,0.9999999999995774,3.070193992108233,1.0,1,1.2680824837406617,0.7607809760769169,52,0,0.777188513358217,1.0,1,0,0.40880370693812773,0.8033279664188994,8,24.55605831561735,0.9742598969437973,15.5,1.8654708520179373,0.9790062587444354,3,dmey,99.11111111111111,97.0,96.05915422858517,9,0.14835174454228744,0.2956563598656247,0.8074568708607113,1,2.5
dmey,1,antisymmetric,0.4941151802314771,63.7221469285448,16070563.536357107,0.5641025641025641,399.78553609788986,330,raw,0.5284283426528112,,7.493969932744001,174793.74086606296,0.9422949981153586,7.370875119551266e-06,0.9999972075147204,572.0677957884917,,,,[],[],14,647.7477976304256,231.0848822422908,1081.694199618229,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[766.5158249600248, 431.1463066987791, 792.0518925859833, 704.0589795569574, 231.0848822422908, 756.3596709872762, 1081.694199618229, 675.5424331639592, 561.0699308593433, 828.2840005351707, 318.8482109404709, 686.2370391926052, 569.9640815691275, 665.6117139157418]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 95, 95, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104606918.8543398,1081.076189038288,-1081.076189038288,0.0,,,,DWT,inu.32000013032893,101510.85433979332,,0.0,16.0,31.0,0.0,25,,1.076189038288021,274.5477976304256,7725.530833174042,274.5477976304257,,0.0,274.5477976304256,,,224.0848822422908,0.0,20.5,2.6941996182290495,1.076189038288021,,0.06779578849170775,0.8637935730212428,0.5580888604489965,0.00951565624325601,0.9468474587830835,0.0075202619701101574,0.39304531085352945,0.041448900792284124,1.0,0.9812764461397158,0.9812764461397158,0.9812764461348692,,0.9999838860090225,0.018723553860255815,0.9999999999999155,,,,,,0.8449558168840304,0.0,0.5,0.9999999999995774,0.9999999999995774,3.0649804299007326,0.9983018785715491,2,1.2506823269566467,0.7503418221324629,63,0,0.7756243829305567,0.9979874504051768,2,0,0.40289428887321477,0.7917155453076492,14,29.055980451535273,0.9695429974302565,20.25,3.6788321167883216,0.9741582911679585,4,dmey,99.11111111111111,97.0,96.05915422858517,9,0.14835174454228744,0.2956563598656247,0.8074568708607113,1,3.25
coif15,1,antireflect,3.6543173449557415e-26,315.03236630098974,16968071.29305662,0.5669856459330144,416.9278406022937,330,raw,1.4032142451359303e-13,-3.392971459348384e-10,7.591296513559251,212979.75011747942,0.9529324840096073,7.405199226499847e-06,1.0,571.9999999999999,,,,[],[],14,646.0714285714287,231.00000000000023,1079.0000000000005,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0, 430.99999999999983, 789.0000000000001, 702.0000000000003, 231.00000000000023, 754.0000000000001, 1079.0000000000005, 673.0, 558.9999999999999, 828.0, 317.9999999999999, 685.0000000000002, 569.0000000000005, 662.9999999999998]","[0, 19, 34, 69, 95, 92, 116, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1080.0000000000005,-1080.0000000000005,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,4.547473508864641e-13,272.8714285714287,7748.999999999998,272.8714285714287,,0.0,272.8714285714287,,,224.00000000000023,0.0,20.5,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,1.941969795744157e-13,3.8869745289805066e-26,0.9536188237426448,0.9793865549208389,0.011023334578033372,0.43475126171593337,0.05358452689672382,5.082422536617727e-08,5.162690610546185e-09,5.162690610546185e-09,4.8967999670292135e-09,,1.6768741584419182e-12,0.9999999948372809,1.6878754930020372e-13,,,,,,0.0,1.0,0.5,4.2255341274398643e-13,4.2255341274398643e-13,0.6500000172336542,0.21171301191535255,40,1.2627105544401442,0.7575581087405523,58,0,0.2083333384071982,0.2680602387019254,39,0,0.3474806431220527,0.6828238435015409,67,13.784048752090222,0.9855513115806183,51.0,48.30464109132779,0.9660460960418815,5,coif,348.4117647058824,285.0,233.4365835615567,153,0.5215105807383089,0.7184844704237421,0.41939725235606107,2,4.25
coif15,1,reflect,3.475726885573998e-26,315.24997246085206,17308939.862006903,0.5669856459330144,420.92412472603917,330,raw,1.4310976646150015e-13,-3.376315893532957e-10,7.597174559942726,47018.962373274946,0.7848534350050665,7.405199226499847e-06,0.9999999999999999,571.9999999999998,,,,[],[],14,646.0714285714287,231.00000000000023,1079.0000000000005,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0000000000003, 430.9999999999999, 789.0, 702.0000000000003, 231.00000000000023, 754.0000000000001, 1079.0000000000005, 673.0, 558.9999999999999, 828.0, 317.9999999999999, 685.0000000000002, 569.0000000000002, 663.0]","[0, 19, 34, 69, 95, 92, 116, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1080.0000000000005,-1080.0000000000005,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,4.547473508864641e-13,272.8714285714287,7748.999999999998,272.8714285714287,,0.0,272.8714285714287,,,224.00000000000023,0.0,20.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.987549331502902e-13,3.685261750359279e-26,0.9544363100561996,0.9813517561512937,0.01235378251887664,0.43475126171593337,0.0008417002032736383,5.082422536617727e-08,5.162690610546185e-09,5.162690610546185e-09,4.8967999670292135e-09,,3.3537483168838365e-12,0.9999999948372809,1.6878754930020372e-13,,,,,,0.0,1.0,0.5,4.2255341274398643e-13,4.2255341274398643e-13,0.6500000172344926,0.21171301191562564,29,1.2437517401365472,0.7461838444982103,71,0,0.20833333840733792,0.26806023870210516,29,0,0.340533544377968,0.6691723070504747,84,28.5,0.970125786163522,53.25,42.12531206235158,0.9571540880503144,6,coif,348.4117647058824,285.0,233.4365835615567,153,0.5215105807383089,0.7184844704237421,0.41939725235606107,2,5.0
db8,1,constant,9.513949375476392e-27,320.87682053193197,14354441.266101422,0.5726744186046512,385.6195775653186,330,raw,6.914872714828973e-14,-3.3115421516072543e-10,7.280546009003542,55666.49171892527,0.7986202453770449,7.40519922649985e-06,1.0,572.0000000000001,,,,[],[],14,646.0714285714286,230.99999999999994,1078.9999999999998,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0, 431.0, 789.0000000000001, 701.9999999999998, 230.99999999999994, 754.0, 1078.9999999999998, 673.0, 559.0, 828.0, 317.99999999999983, 684.9999999999999, 568.9999999999999, 662.9999999999999]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1079.9999999999998,-1079.9999999999998,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,2.2737367544323206e-13,272.87142857142857,7749.0,272.8714285714285,,0.0,272.87142857142857,,,223.99999999999994,0.0,20.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,7.785477459331357e-14,8.341015419053557e-27,0.975574826031435,0.8754936568256266,0.000822045857876126,0.5170436444727617,0.0035899104751309844,5.082087699704623e-08,5.162624063019012e-09,5.162624063019012e-09,4.896700145738428e-09,,1.6768741584419182e-12,0.9999999948373569,8.439377465010186e-14,,,,,,0.0,1.0,0.5,2.1127670637199321e-13,2.1127670637199321e-13,0.6500000172324912,0.21171301191497377,75,1.2317561689397927,0.738987149897756,86,0,0.2083333384068638,0.26806023870149515,77,0,0.3389320119518441,0.6660251834672074,89,6.800735254367722,0.9928713466935348,81.75,81.32691638075411,0.9535897613970818,7,db,452.1578947368421,403.5,277.7443046217277,342,0.6768001260482135,0.8548573088876205,0.26978271909996443,5,6.5
db8,1,zero,9.646258082695097e-27,320.8168401220802,14354728.53381003,0.5726744186046512,385.6195775653186,330,raw,6.915411004780306e-14,-3.3122560250120883e-10,7.280207894831027,56217.985228501886,0.8006143204430652,7.40519922649985e-06,1.0,572.0000000000001,,,,[],[],14,646.0714285714286,230.99999999999994,1078.9999999999998,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0, 431.0, 789.0000000000001, 701.9999999999998, 230.99999999999994, 754.0, 1078.9999999999998, 673.0, 559.0, 828.0, 317.99999999999983, 684.9999999999999, 568.9999999999999, 663.0]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1079.9999999999998,-1079.9999999999998,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,2.2737367544323206e-13,272.87142857142857,7749.0,272.8714285714285,,0.0,272.87142857142857,,,223.99999999999994,0.0,20.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,7.786357373149094e-14,8.490454291999285e-27,0.9753494961778764,0.8753806154604328,0.0008231670956968099,0.5170436444727617,0.0037651767352730762,5.082087699704623e-08,5.162624063019012e-09,5.162624063019012e-09,4.896700145738428e-09,,1.6768741584419182e-12,0.9999999948373569,8.439377465010186e-14,,,,,,0.0,1.0,0.5,2.1127670637199321e-13,2.1127670637199321e-13,0.6500000172324912,0.21171301191497377,76,1.2316351174680278,0.7389145255550768,87,0,0.2083333384068638,0.26806023870149515,76,0,0.33890887142030274,0.6659797106991541,90,7.32006375199925,0.9923269771991622,82.25,81.76422093981863,0.9530555221425581,8,db,452.1578947368421,403.5,277.7443046217277,342,0.6768001260482135,0.8548573088876205,0.26978271909996443,5,7.25
rbio2.6,1,constant,6.498387526501171e-27,322.53237282756567,14208503.905403001,0.5701754385964912,422.77535882612835,330,raw,5.632127760801459e-14,-3.5397795805636447e-10,7.327174655438438,53327.217497858284,0.7400470426414391,7.405199226499848e-06,0.9999999999999999,572.0000000000001,,,,[],[],14,646.0714285714286,230.99999999999994,1079.0000000000002,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0, 431.0000000000002, 789.0000000000001, 702.0000000000001, 230.99999999999994, 754.0, 1079.0000000000002, 673.0, 559.0000000000001, 828.0, 318.0000000000001, 685.0, 569.0, 663.0]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1080.0000000000002,-1080.0000000000002,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,2.2737367544323206e-13,272.87142857142857,7749.0,272.8714285714286,,0.0,272.87142857142857,,,223.99999999999994,0.0,20.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,5.6886428316656e-14,4.935025189974496e-27,0.9817942793038554,0.8910829644578203,0.00025243610584987355,0.4808940158615712,0.002846482244238533,5.082087699704623e-08,5.162624063019012e-09,5.162624063019012e-09,4.896766693265618e-09,,1.6768741584419182e-12,0.9999999948373569,8.439377465010186e-14,,,,,,0.0,1.0,0.5,2.1127670637199321e-13,2.1127670637199321e-13,0.6500000172325112,0.2117130119149803,69,1.2282404671064895,0.7368779187502318,97,0,0.20833333840686935,0.26806023870150225,67,0,0.33669573971048466,0.6616307516126984,104,18.997806890972093,0.9800861562987714,84.25,81.06554214752273,0.9458868936630125,9,rbio,454.6666666666667,422.0,324.9013627585887,135,0.6805553124069957,1.0,0.22361128131510297,6,8.25
rbio2.6,1,zero,6.499582770296961e-27,322.53157410626585,14208739.4518007,0.5701754385964912,422.77535882612835,330,raw,5.6402021100714604e-14,-3.539785131678768e-10,7.326557583226693,53908.4135999922,0.7430039329475565,7.405199226499848e-06,0.9999999999999999,572.0000000000001,,,,[],[],14,646.0714285714286,230.99999999999994,1079.0000000000002,"[8, 32, 50, 79, 99, 115, 140, 163, 184, 210, 228, 277, 294, 316]","[764.0, 431.0000000000002, 789.0000000000001, 702.0000000000001, 230.99999999999994, 754.0, 1079.0000000000002, 673.0, 559.0000000000001, 828.0, 318.0000000000001, 685.0, 569.0, 663.0]","[0, 19, 34, 69, 95, 95, 95, 158, 179, 179, 224, 255, 287, 306]","[34, 34, 92, 92, 109, 116, 179, 179, 208, 329, 255, 329, 306, 329]",104505408.0,1080.0000000000002,-1080.0000000000002,0.0,,,,DWT,inu.32000013032893,0.0,,0.0,25.0,31.0,0.0,25,,2.2737367544323206e-13,272.87142857142857,7749.0,272.8714285714286,,0.0,272.87142857142857,,,223.99999999999994,0.0,20.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,5.701841538931646e-14,4.936375183406472e-27,0.9817912787282681,0.8908766593369198,0.00025335546964089955,0.4808940158615712,0.003031188075696774,5.082087699704623e-08,5.162624063019012e-09,5.162624063019012e-09,4.896766693265618e-09,,1.6768741584419182e-12,0.9999999948373569,8.439377465010186e-14,,,,,,0.0,1.0,0.5,2.1127670637199321e-13,2.1127670637199321e-13,0.6500000172325112,0.2117130119149803,68,1.2282098562151658,0.736859553869336,98,0,0.20833333840686935,0.26806023870150225,71,0,0.33669235678173637,0.6616241039203565,105,18.734993995195193,0.9803616415144705,85.5,82.44315244727626,0.9453695000025182,10,rbio,454.6666666666667,422.0,324.9013627585887,135,0.6805553124069957,1.0,0.22361128131510297,6,9.0
