wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
sym19,1,antireflect,5.071912716746248e-20,247.3745999010816,3557067.5727268737,0.5211267605633803,163.55986252107354,105,smoothed,1.390592614603477e-10,,6.07195309902161,116701.96918811226,0.9919715083804773,0.00012066356808818288,1.0,404.9999999999821,,,,[],[],13,140.44615384648023,33.80000000004736,526.4000000009568,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000068756, 59.40000000012492, 33.80000000004736, 50.000000000093905, 249.60000000047637, 113.00000000031861, 51.20000000010282, 114.0000000003676, 201.00000000044855, 78.2000000002115, 95.40000000026976, 67.40000000013742, 526.4000000009568]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360006263,526.4000000009311,-526.4000000009311,0.0,,,,DWT,inu.30000003214412,6.2640756368637085e-06,,1.0,52.0,0.0,1.0,52,,9.310952009400353e-10,3.263664893893292e-10,4.24279278377071e-09,3.2639491109875957e-10,,0.0,3.263664893893292e-10,,,4.7350567911053076e-11,1.0,52.0,9.567884262651205e-10,9.310952009400353e-10,,1.7905676941154525e-11,0.1619384213900643,0.760210969786114,0.6653084780825673,0.1541130843029183,0.8367223901000601,,,,,,,0.265555906506633,1.0,1.0,1.0,1.0,0.5327779532533164,0.6606319334971752,3,1.2062569665295706,0.6115976528010771,87,0,0.8531111813013266,0.8862692982887893,3,0,0.5156586687323449,0.6488585122104387,62,42.523522902036234,0.9437519538332854,38.75,5.761281708945261,0.9462476700383358,1,sym,464.19883040935673,542.0,230.44610496326825,171,0.9837036669847447,0.8975969021050745,0.0421283624791564,6,2.25
db23,1,reflect,1.2456609548865915e-26,313.47231909465495,3791488.4978392767,0.5133333333333333,126.33678294919365,105,smoothed,8.790428702403522e-14,-1.0988319143478989e-10,6.130336641461862,10093.62000096496,0.9291555038947477,0.00012066356808871766,0.9999999999999997,405.0000000000001,,,,[],[],13,140.4461538461539,33.80000000000007,526.4000000000001,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.39999999999998, 59.399999999999864, 33.80000000000007, 50.00000000000017, 249.6000000000002, 113.0, 51.19999999999982, 114.0, 201.00000000000023, 78.19999999999999, 95.39999999999998, 67.40000000000009, 526.4000000000001]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000007,526.4000000000001,-526.4000000000001,0.0,,,,DWT,inu.30000003214412,7.450580596923828e-09,,1.0,52.0,0.0,1.0,52,,1.1368683772161603e-13,2.842170943040401e-14,4.547473508864641e-13,9.619655499521355e-14,,0.0,2.842170943040401e-14,,,5.684341886080802e-14,1.0,52.0,1.1368683772161603e-13,1.1368683772161603e-13,,1.1368683772161603e-13,0.8981643304062942,0.8545986121176314,0.8892586274515623,0.07053140096618289,0.004697716678626208,,,,,,,0.00031585596967782694,1.0,1.0,1.0,1.0,0.40015792798483896,0.4961862705740667,85,1.440918865086297,0.7305761709289722,40,0,0.8000631711939356,0.831159455956424,74,0,0.5434501375240595,0.6838287981491294,45,21.924111536540465,0.9709998524648935,61.0,55.172077724310164,0.9451560108885314,2,db,316.6025641025641,305.5,204.02989386353087,234,0.6709260835703029,0.7947046911377537,0.29194033415946186,1,1.75
sym17,1,antireflect,5.568701632141577e-21,256.9687781194941,3499377.3061943906,0.5144927536231884,195.67114223545101,105,smoothed,5.385622952893582e-11,,6.037503943095048,111711.52964626039,0.990272212379548,0.000120663568088377,0.9999999999999996,404.9999999999877,,,,[],[],13,140.44615384631672,33.8000000000672,526.4000000003077,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.4000000001907, 59.40000000015624, 33.8000000000672, 50.000000000115165, 249.60000000023683, 113.00000000020782, 51.2000000000848, 114.0000000001582, 201.00000000018122, 78.2000000000927, 95.40000000016681, 67.40000000015198, 526.4000000003077]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.36000124,526.4000000001583,-526.4000000001583,0.0,,,,DWT,inu.30000003214412,1.2405216693878174e-06,,1.0,52.0,0.0,1.0,52,,1.5836576494621113e-10,1.6285639503621496e-10,2.117303665727377e-09,1.6287388531894137e-10,,0.0,1.6285639503621496e-10,,,6.718892109347507e-11,1.0,52.0,3.077502697124146e-10,1.5836576494621113e-10,,1.2278178473934531e-11,0.268802662188274,0.7045176275819037,0.6101950371604663,0.08296576349506316,0.7977745134872282,,,,,,,0.05259001895135818,1.0,1.0,1.0,1.0,0.4262950094756791,0.5285956271846942,28,1.170934040477066,0.5936881863580096,99,0,0.8105180037902716,0.8420206395301143,22,0,0.49285112078258714,0.6201595442163031,73,36.864617182333525,0.9512372788593472,55.5,38.106680476437084,0.9389122902233245,3,sym,464.19883040935673,542.0,230.44610496326825,171,0.9837036669847447,0.8975969021050745,0.0421283624791564,6,3.75
rbio2.8,1,antireflect,5.271854305003513e-27,317.20668361789603,3198337.25801052,0.5327868852459017,312.3327789262302,105,smoothed,5.727438005047432e-14,-1.0881016088148976e-10,5.88865453868323,76344.41266268102,0.9713492744845796,0.00012066356808871761,0.9999999999999999,405.0,,,,[],[],13,140.4461538461539,33.80000000000001,526.4000000000001,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000000003, 59.400000000000034, 33.80000000000001, 50.0, 249.60000000000002, 113.00000000000006, 51.19999999999999, 114.00000000000011, 200.9999999999999, 78.20000000000005, 95.40000000000009, 67.40000000000003, 526.4000000000001]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000005,526.4000000000001,-526.4000000000001,0.0,,,,DWT,inu.30000003214412,5.587935447692871e-09,,1.0,52.0,0.0,1.0,52,,1.1368683772161603e-13,2.842170943040401e-14,2.2737367544323206e-13,4.809827749760677e-14,,0.0,2.842170943040401e-14,,,0.0,1.0,52.0,1.1368683772161603e-13,1.1368683772161603e-13,,0.0,0.9397593498602853,0.46387542332956716,0.3226014116148763,0.27916369684010467,0.5217519112943794,,,,,,,0.0002368919772583702,1.0,1.0,1.0,1.0,0.4001184459886292,0.49613731384202653,103,1.2774602706421865,0.6476992255797572,71,0,0.8000473783954517,0.8311430493347115,85,0,0.5054303585878426,0.6359881262260355,65,16.89181261242657,0.9776563325232452,81.0,78.51979789146384,0.9352567376901941,4,rbio,377.57037037037037,376.0,202.61571378780673,135,0.8001255788399654,0.7891964025286187,0.2031531740534386,4,4.0
sym12,1,antireflect,9.318945199934129e-24,284.73265003339867,3341622.020835279,0.5234375,165.61507208921364,105,smoothed,2.149188763464086e-12,,5.911053733616169,92714.66538904447,0.9899990228410463,0.00012066356808870617,0.9999999999999997,404.99999999999943,,,,[],[],13,140.44615384615994,33.80000000000217,526.4000000000138,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000000816, 59.40000000000464, 33.80000000000217, 50.00000000000256, 249.6000000000089, 113.00000000000716, 51.200000000003, 114.00000000000688, 201.00000000000716, 78.20000000000402, 95.4000000000064, 67.4000000000047, 526.4000000000138]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000059,526.4000000000095,-526.4000000000095,0.0,,,,DWT,inu.30000003214412,5.960464477539063e-08,,1.0,52.0,0.0,1.0,52,,9.549694368615746e-12,6.0822458181064576e-12,7.912603905424476e-11,6.121598954240863e-12,,0.0,6.0822458181064576e-12,,,2.1600499167107046e-12,1.0,52.0,1.3869794202037156e-11,9.549694368615746e-12,,5.684341886080801e-13,0.5780490641369205,0.5000878063312963,0.4594861373343039,0.17889492753623154,0.6495135198581575,,,,,,,0.002526847757422615,1.0,1.0,1.0,1.0,0.4012634238787113,0.49755705907119285,62,1.1579797892727082,0.587120108535276,105,0,0.8005053695514845,0.8316188413643747,50,0,0.47320629103938194,0.5954402564922375,85,24.44722206441187,0.9676624046767038,75.5,69.6651139367997,0.9338973399044894,5,sym,464.19883040935673,542.0,230.44610496326825,171,0.9837036669847447,0.8975969021050745,0.0421283624791564,6,5.25
bior2.8,1,antireflect,7.110578327366492e-27,315.9072683640753,3251615.790394478,0.5163934426229508,177.53917560985818,105,smoothed,6.67556797556557e-14,-1.095441959364509e-10,5.827828488327346,77303.84656750929,0.9907495591166918,0.0001206635680887176,0.9999999999999999,404.99999999999994,,,,[],[],13,140.44615384615386,33.80000000000001,526.4000000000001,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000000003, 59.39999999999998, 33.80000000000001, 50.0, 249.60000000000014, 113.0, 51.200000000000045, 114.00000000000006, 201.00000000000006, 78.19999999999987, 95.40000000000009, 67.39999999999998, 526.4000000000001]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000007,526.4000000000001,-526.4000000000001,0.0,,,,DWT,inu.30000003214412,7.450580596923828e-09,,1.0,52.0,0.0,1.0,52,,1.1368683772161603e-13,0.0,0.0,5.2470848179207395e-14,,0.0,0.0,,,0.0,1.0,52.0,1.1368683772161603e-13,1.1368683772161603e-13,,5.684341886080802e-14,0.9252858825741899,0.3655390215720772,0.37350017536571056,0.10334996436208106,0.5292398115143974,,,,,,,0.00031585596967782694,1.0,1.0,1.0,1.0,0.40015792798483896,0.4961862705740667,94,1.177727038363999,0.5971323791613753,97,0,0.8000631711939356,0.831159455956424,77,0,0.45938297107769127,0.5780462333369571,97,9.604686356149273,0.987295388417792,91.25,90.40800952902167,0.9332971651083669,6,bior,384.1333333333333,360.0,189.71143837614608,135,0.8140334353661407,0.7389337277254862,0.20849647692605566,3,5.25
sym18,1,antireflect,7.351211973946395e-20,245.7627281529692,3539033.3205330987,0.5142857142857142,233.0777102111081,105,smoothed,1.9019323259174471e-10,,6.06376285397627,115355.48696682931,0.9897542210560444,0.0001206635680874391,0.9999999999999999,404.9999999999583,,,,[],[],13,140.44615384673747,33.800000000249895,526.4000000010999,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000073917, 59.40000000059479, 33.800000000249895, 50.00000000050869, 249.6000000008542, 113.00000000075141, 51.20000000028659, 114.00000000048249, 201.00000000064728, 78.2000000002734, 95.40000000055909, 67.4000000005405, 526.4000000010999]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360004526,526.4000000005258,-526.4000000005258,0.0,,,,DWT,inu.30000003214412,4.526227712631226e-06,,1.0,52.0,0.0,1.0,52,,5.258016244624741e-10,5.836113814439159e-10,7.587004802189767e-09,5.836463620093687e-10,,0.0,5.836113814439159e-10,,,2.4988366931211203e-10,1.0,52.0,1.099920154956635e-09,5.258016244624741e-10,,4.172306944383308e-11,0.1439846741586921,0.7469699452159075,0.64807975385235,0.08074534161490589,0.8262137719761264,,,,,,,0.19188250157927986,1.0,1.0,1.0,1.0,0.4959412507896399,0.6149553025036473,5,1.146699299465757,0.5814006629446513,110,0,0.838376500315856,0.8709619202310053,4,0,0.48919869736359645,0.6155636629302679,76,52.9488747126257,0.9299618059356802,48.75,8.470111448834853,0.9327388394757766,7,sym,464.19883040935673,542.0,230.44610496326825,171,0.9837036669847447,0.8975969021050745,0.0421283624791564,6,6.75
coif7,1,antisymmetric,1.6421289225208683e-26,312.2722451090008,3535993.537011865,0.5136986301369864,149.73916556129402,105,smoothed,9.555108027554874e-14,-1.103171554106554e-10,6.087712437898648,114542.16194478421,0.9920803643149533,0.00012066356808871751,0.9999999999999999,405.0,,,,[],[],13,140.44615384615386,33.799999999999955,526.4,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.4000000000001, 59.399999999999864, 33.799999999999955, 50.00000000000006, 249.60000000000025, 113.00000000000011, 51.199999999999875, 114.0000000000004, 201.00000000000006, 78.19999999999976, 95.40000000000015, 67.39999999999992, 526.4]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000005,526.4,-526.4,0.0,,,,DWT,inu.30000003214412,5.587935447692871e-09,,1.0,52.0,0.0,1.0,52,,0.0,0.0,0.0,1.3117712044801848e-13,,0.0,0.0,,,5.684341886080802e-14,1.0,52.0,0.0,0.0,,0.0,0.8847973705209238,0.7856888147255378,0.6451757469967194,0.07444907683144747,0.8198661782743928,,,,,,,0.0002368919772583702,1.0,1.0,1.0,1.0,0.4001184459886292,0.49613731384202653,101,1.6040368052160188,0.813280397375932,19,0,0.8000473783954517,0.8311430493347115,91,0,0.6419954374698044,0.8078293446061828,19,44.64302857109943,0.9409483749059532,57.5,31.707489786654563,0.9324450869238761,8,coif,355.6388888888889,304.0,256.7367427659546,72,0.7536496350364964,1.0,0.1724452554744525,5,7.25
rbio2.8,1,antisymmetric,5.279988784903272e-27,317.1999876115143,3150044.4545312687,0.5245901639344263,190.65530318869898,105,smoothed,5.758779696493763e-14,-1.0891514357069833e-10,5.849442479929989,69155.71621120388,0.9772330538484975,0.00012066356808871761,0.9999999999999999,405.0,,,,[],[],13,140.4461538461539,33.80000000000001,526.4000000000001,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000000003, 59.400000000000034, 33.80000000000001, 50.0, 249.60000000000002, 113.00000000000006, 51.19999999999999, 114.00000000000011, 200.9999999999999, 78.20000000000005, 95.40000000000009, 67.40000000000003, 526.4000000000001]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000005,526.4000000000001,-526.4000000000001,0.0,,,,DWT,inu.30000003214412,5.587935447692871e-09,,1.0,52.0,0.0,1.0,52,,1.1368683772161603e-13,2.842170943040401e-14,2.2737367544323206e-13,4.809827749760677e-14,,0.0,2.842170943040401e-14,,,0.0,1.0,52.0,1.1368683772161603e-13,1.1368683772161603e-13,,0.0,0.9396847667514381,0.400481980212082,0.27646568142167754,0.19125683060109286,0.4656477425029994,,,,,,,0.0002368919772583702,1.0,1.0,1.0,1.0,0.4001184459886292,0.49613731384202653,99,1.1650465201093794,0.590703089701486,102,0,0.8000473783954517,0.8311430493347115,86,0,0.454707400297858,0.5721629153906201,104,8.098353742170895,0.9892878918754353,97.75,97.20954352157108,0.9299944750382467,9,rbio,377.57037037037037,376.0,202.61571378780673,135,0.8001255788399654,0.7891964025286187,0.2031531740534386,4,7.75
sym11,1,antireflect,2.654478810278658e-24,290.18652498332807,3300162.3829802964,0.5158730158730159,159.04743784627053,105,smoothed,1.1403026671056676e-12,,5.896042823669348,87740.24779485716,0.9891319428446924,0.00012066356808871049,0.9999999999999999,404.99999999999966,,,,[],[],13,140.4461538461573,33.80000000000126,526.4000000000071,"[6, 13, 19, 33, 40, 47, 57, 62, 70, 78, 87, 93, 100]","[186.40000000000447, 59.40000000000333, 33.80000000000126, 50.00000000000256, 249.6000000000049, 113.00000000000432, 51.20000000000152, 114.00000000000318, 201.00000000000392, 78.20000000000215, 95.40000000000322, 67.4000000000031, 526.4000000000071]","[1, 11, 18, 24, 1, 45, 52, 52, 1, 75, 82, 92, 1]","[24, 24, 24, 35, 52, 52, 58, 65, 92, 82, 92, 95, 103]",16312120.360000035,526.4000000000042,-526.4000000000042,0.0,,,,DWT,inu.30000003214412,3.5390257835388184e-08,,1.0,52.0,0.0,1.0,52,,4.206412995699793e-12,3.439026841078885e-12,4.4792614062316716e-11,3.467448550509289e-12,,0.0,3.439026841078885e-12,,,1.2505552149377763e-12,1.0,52.0,7.16227077646181e-12,4.206412995699793e-12,,3.410605131648481e-13,0.638796758484943,0.4758199332302243,0.4198783587797411,0.09776857602944579,0.6106906865076481,,,,,,,0.001500315855969678,1.0,1.0,1.0,1.0,0.40075015792798485,0.49692062155467004,67,1.114510906110786,0.5650804705067365,118,0,0.800300063171194,0.8314055552821119,55,0,0.4485908626064005,0.5644664142222898,109,30.923292192132454,0.9590961743490312,87.25,78.8082932784738,0.9218430607194892,10,sym,464.19883040935673,542.0,230.44610496326825,171,0.9837036669847447,0.8975969021050745,0.0421283624791564,6,9.0
