wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,1.227793430750813,62.83657126012048,51706801.78465495,0.5738786279683378,560.9613740546201,698,raw,0.8130795735227853,,8.416814539222392,265132.9388545608,0.8919406267031377,2.8551008770665197e-06,0.9999978360957048,700.191166517749,,,,[],[],15,1275.1975634397631,871.1864688331434,1538.8016426037211,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1189.9063585649105, 1372.5523858158463, 1538.8016426037211, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.6386359365945]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",398034181.93192285,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,473434.931922853,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.7567032247093,51221.03654840356,518.7567032247092,,0.0,518.7567032247093,,,828.1864688331434,0.0,-27.0,2.8016426037211204,2.8016426037211204,,0.19116651774902493,0.9973936166712601,0.9950159007359654,8.2264382339714e-05,0.8541000787423734,0.07309855009461393,0.1337630673658199,0.17771336269797477,0.9999999999975612,0.966576486058484,0.966576486058484,0.9665764860539243,,0.9999999999994053,0.03342351394155507,0.6325964800167438,,,,,,0.9999999999999999,1.0,0.0,0.999999999999919,0.999999999999919,3.0029288344293557,0.9603484288672126,8,1.4844668705163724,0.936963438350522,6,0,0.7971457876771663,0.9707644213532054,8,0,0.4615952629557639,0.9851785797720002,2,2.8284271247461903,0.9970351916931381,6.0,4.363636363636364,0.9953729417585188,1,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,1.0,1
dmey,1,antisymmetric,1.233943527779479,62.814871470057234,51397296.346141025,0.5804749340369393,564.4287726778088,698,raw,0.8152043084418248,,8.410514956801169,257949.15735765063,0.8887060341777729,2.855067691656671e-06,0.999997828733088,700.191166517749,,,,[],[],15,1275.1461902008634,871.1864688331434,1538.7487711242497,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1189.503234591284, 1372.1910467913438, 1538.7487711242497, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.6853718307002]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",398033674.9966389,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,472927.9966388941,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.7053299858096,51221.80714698705,518.7053299858096,,0.0,518.7053299858096,,,828.1864688331434,0.0,-27.0,2.7487711242497426,2.8016426037211204,,0.19116651774902493,0.9999999999999999,1.0,0.0,0.8496959880114704,0.06888493803101325,0.19204435389599525,0.16915252586616536,0.9999999999975612,0.9503713830711785,0.9503713830711785,0.9503713830644267,,0.9999999999994053,0.04962861692876275,0.620658372078762,,,,,,0.9989292397966918,1.0,0.0,0.999999999999919,0.999999999999919,2.989942359163082,0.9561953031002949,9,1.5037692149261062,0.9491466613954924,5,0,0.7933608648339836,0.9661551409799937,9,0,0.46853968654352074,1.0,1,3.8297084310253524,0.9959856305754451,6.0,2.8125,0.9948481611996722,2,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,1.75,2
dmey,1,smooth,1.153396527568518,63.10803791807093,53562992.25830258,0.58311345646438,518.6110836205811,698,raw,0.8008333991699945,,8.27153231888679,266222.70596738416,0.901453248204232,2.855085647188347e-06,0.9999980669893076,700.191166517749,,,,[],[],15,1275.1562265639122,871.1864688331434,1539.430191083834,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1189.2091646110518, 1372.010272814897, 1539.430191083834, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.6293412735274]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",398011872.05885965,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,451125.0588596463,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.7153663488584,51221.65660154131,518.7153663488584,,0.0,518.7153663488584,,,828.1864688331434,0.0,-27.0,3.430191083833961,2.8016426037211204,,0.19116651774902493,0.9823714017173198,0.9347239169397745,0.0011114004650858433,0.752532064045163,0.0983687573312158,0.21535686850806599,0.17901202670126687,0.9999999999975612,0.9535372394646497,0.9535372394646497,0.9535372394583332,,0.9999999999994053,0.046462760535200265,0.774519491721072,,,,,,0.9528765801615118,1.0,0.0,0.999999999999919,0.999999999999919,3.04511293172412,0.9738390687704079,7,1.4394105797300347,0.9085248803921332,18,0,0.8028725459001851,0.9777384695367856,7,0,0.4519252051011275,0.964539863069102,4,6.164414002968976,0.9935383501017097,9.0,6.76510067114094,0.9920521939187794,3,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,2.5,3
dmey,1,symmetric,1.0936783736538878,63.338928069107595,51397808.01543642,0.579155672823219,560.9613740546201,698,raw,0.793612848363725,,8.409096615538273,127990.15390643018,0.776278439779441,2.8551059204381226e-06,0.9999982799400242,700.191166517749,,,,[],[],15,1275.303522295312,871.1864688331434,1540.428798914036,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1188.3640657072228, 1374.1185355354207, 1540.428798914036, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.5770055976234]","[0, 0, 0, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397964980.8618925,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,404233.8618925214,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.8626620802581,51219.447165570324,518.8626620802579,,0.0,518.8626620802581,,,828.1864688331434,0.0,-27.0,4.428798914035951,2.8016426037211204,,0.19116651774902493,0.9735140505827666,0.8863277362635851,0.0019867101159158906,0.8487044137782109,0.06889190390510579,0.18038809658996038,0.014281748706672788,0.9999999999975612,0.9999999999999999,0.9999999999999999,0.9999999999999999,,0.9999999999994053,0.0,1.0,,,,,,0.853831930505694,1.0,0.0,0.999999999999919,0.999999999999919,3.1269159652517855,1.0,1,1.361708979962842,0.8594813082321965,22,0,0.8211526608752081,1.0,1,0,0.4248706657060312,0.9067976052153839,9,9.912113800799505,0.989609943605032,8.25,1.85480093676815,0.9904810724314468,4,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,3.25,4
dmey,1,reflect,1.1027720657762108,63.30296674893866,51696920.24919464,0.575197889182058,565.525724171149,698,raw,0.7958313552178848,,8.417076689568958,127870.557886362,0.7736961702378982,2.85507272333778e-06,0.9999982620316066,700.191166517749,,,,[],[],15,1275.256423434613,871.1864688331434,1540.3677923232658,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1187.960941733596, 1373.8294472952261, 1540.3677923232658, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.6237414917296]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397964475.9812377,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,403728.9812377095,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.8155632195592,51220.1536484808,518.8155632195588,,0.0,518.8155632195592,,,828.1864688331434,0.0,-27.0,4.367792323265803,2.8016426037211204,,0.19116651774902493,0.9762354626646046,0.8936973540115605,0.0018503799586566672,0.8542833502410567,0.07296402271046715,0.14541932467185475,0.014139227387785542,0.9999999999975612,0.9851432009240998,0.9851432009240998,0.9851432009220211,,0.9999999999994053,0.014856799075778415,0.9862250258017352,,,,,,0.852765510136666,1.0,0.0,0.999999999999919,0.999999999999919,3.1135525483370947,0.9957263268142817,4,1.3576463864811297,0.8569170869397932,23,0,0.8174397448151004,0.9954784095126108,2,0,0.42265558880656956,0.9020699866953763,10,9.464847243000456,0.9900787764748423,9.75,4.476885644768856,0.9899293253443394,5,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,4.0,5
dmey,1,periodic,1.1010750469831867,63.30965510802579,51343166.11839166,0.575197889182058,560.9613740546201,698,raw,0.7925981973750864,,8.413417189587296,127926.18064263067,0.7768343136602265,2.8551513700096797e-06,0.9999982690142524,700.191166517749,,,,[],[],15,1275.24821645629,871.1864688331434,1540.3677923232656,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1187.6284571802114, 1374.0309304504922, 1540.3677923232656, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.631638215008]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397966400.7914728,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,405653.7914727926,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.8073562412362,51220.276753155646,518.8073562412362,,0.0,518.8073562412362,,,828.1864688331434,0.0,-27.0,4.367792323265576,2.8016426037211204,,0.19116651774902493,0.9722693920620358,0.892322073251283,0.0018757356753508203,0.8517249632129448,0.06814800823183009,0.14541932467185475,0.014205512441243306,0.9999999999975612,0.9825544031027716,0.9825544031027716,0.9825544031004447,,0.9999999999994053,0.0174455968970878,0.9862250258016839,,,,,,0.8568311379670112,1.0,0.0,0.999999999999919,0.999999999999919,3.1145498431236263,0.9960452656017689,3,1.3519859235422178,0.8533443249447386,24,0,0.8173470808307146,0.995365563279747,4,0,0.42085214422093475,0.8982209112863346,11,9.678154093971983,0.98985518438787,10.5,5.587301587301588,0.9894244475398469,6,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,4.75,6
dmey,1,zero,1.1272154016030418,63.20775517306793,47981823.08445948,0.5738786279683378,459.20401646639726,698,raw,0.7982972531154258,,8.290215038191105,150318.23126851022,0.8254771903201769,2.855087027711359e-06,0.9999981920252858,700.191166517749,,,,[],[],15,1275.2272646075644,871.1864688331434,1539.588785019143,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1188.9336501492533, 1373.190916555536, 1539.588785019143, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.631188714162]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397999302.38557243,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,438555.3855724335,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.7864043925106,51220.591030886535,518.7864043925107,,0.0,518.7864043925106,,,828.1864688331434,0.0,-27.0,3.5887850191429607,2.8016426037211204,,0.19116651774902493,0.9792603459631907,0.9135064743453066,0.0014894307763021475,0.7655933092856421,0.02238662960894883,0.1337630673658199,0.040889883593152904,0.9999999999975612,0.9759453810974372,0.9759453810974372,0.9759453810942375,,0.9999999999994053,0.024054618902523806,0.8103291860394066,,,,,,0.9263266311829664,1.0,0.0,0.999999999999919,0.999999999999919,3.0587060610481207,0.9781862048863305,5,1.3066267966928071,0.8247146234017073,38,0,0.8073788816175677,0.98322628676261,6,0,0.40812702013405194,0.8710617944551484,22,15.58578412100805,0.9836627000828008,17.75,9.123317570025463,0.9825284150309181,7,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,5.5,7
dmey,1,constant,1.1272154016030418,63.20775517306793,47981823.08445948,0.5738786279683378,459.20401646639726,698,raw,0.7982972531154258,,8.290215038191105,150318.23126851022,0.8254771903201769,2.855087027711359e-06,0.9999981920252858,700.191166517749,,,,[],[],15,1275.2272646075644,871.1864688331434,1539.588785019143,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1188.9336501492533, 1373.190916555536, 1539.588785019143, 1281.5935694837456, 1397.8775151920743, 1366.8481938809875, 1515.9462440630077, 1029.383527792112, 1206.1391999738037, 1114.9909963081382, 1250.1477823977775, 1273.7668013162865, 1363.184129434296, 871.1864688331434, 1355.631188714162]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397999302.38557243,1538.8016426037211,-1538.8016426037211,0.0,,,,DWT,inu.32000013025095,438555.3855724335,,0.0,-18.0,78.0,0.0,-18,,2.8016426037211204,518.7864043925106,51220.591030886535,518.7864043925107,,0.0,518.7864043925106,,,828.1864688331434,0.0,-27.0,3.5887850191429607,2.8016426037211204,,0.19116651774902493,0.9792603459631907,0.9135064743453066,0.0014894307763021475,0.7655933092856421,0.02238662960894883,0.1337630673658199,0.040889883593152904,0.9999999999975612,0.9759453810974372,0.9759453810974372,0.9759453810942375,,0.9999999999994053,0.024054618902523806,0.8103291860394066,,,,,,0.9263266311829664,1.0,0.0,0.999999999999919,0.999999999999919,3.0587060610481207,0.9781862048863305,6,1.3066267966928071,0.8247146234017073,39,0,0.8073788816175677,0.98322628676261,5,0,0.40812702013405194,0.8710617944551484,23,16.11159003119597,0.983111540847803,18.25,9.178818112049116,0.9819907809060817,8,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,6.25,8
dmey,1,periodization,1.101075046983186,63.30965510802579,47980948.671474874,0.5773638968481375,560.9613740546201,698,raw,0.7925981973750953,,8.29002344959926,128260.83132401537,0.7776120403945824,2.8551513700096792e-06,0.9999982690142527,700.1911665177491,,,,[],[],15,1275.24821645629,871.1864688331439,1540.3677923232658,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1187.628457180211, 1374.0309304504926, 1540.3677923232658, 1281.5935694837456, 1397.8775151920745, 1366.8481938809878, 1515.9462440630077, 1029.3835277921123, 1206.1391999738041, 1114.9909963081377, 1250.1477823977773, 1273.7668013162865, 1363.1841294342962, 871.1864688331439, 1355.631638215008]","[0, 0, 53, 136, 136, 241, 241, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 183, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397966400.7914729,1538.8016426037213,-1538.8016426037213,0.0,,,,DWT,inu.32000013025095,405653.79147291183,,0.0,-18.0,78.0,0.0,-18,,2.8016426037213478,518.8073562412362,51220.276753155646,518.8073562412363,,0.0,518.8073562412362,,,828.1864688331439,0.0,-27.0,4.367792323265803,2.8016426037213478,,0.19116651774913862,0.9722693920620467,0.8923220732512824,0.0018757356753508203,0.7654593680995331,0.022374725336383506,0.16455696202531614,0.014604312137506402,0.9999999999999999,0.9825544031027716,0.9825544031027716,0.9825544031004806,,1.0,0.0174455968970878,0.9862250258017352,,,,,,0.856831137967263,1.0,0.0,1.0,1.0,3.1145498431248506,0.9960452656021604,2,1.2937810593576815,0.8166066713411266,40,0,0.8173470808310092,0.9953655632801057,3,0,0.40478036694105995,0.8639190629233102,25,18.375708603116962,0.980738250940129,17.5,4.452690166975882,0.9811972177132511,9,dmey,5.0,5.0,2.7386127875258306,9,0.006247214326944856,0.008055159788657923,0.9932104020345413,1,7.0,9
rbio3.5,1,antireflect,8.938015570104527e-27,324.21541324521047,48307197.34581394,0.6129943502824858,774.5675628408113,698,raw,5.57643711532067e-14,-6.96188662274726e-10,8.538032490355324,165632.50866784615,0.5871349399574392,2.8672227222193594e-06,1.0,700.0,,,,[],[],15,1272.1333333333334,871.0,1536.0000000000002,"[12, 46, 102, 149, 205, 256, 316, 354, 393, 446, 492, 532, 593, 636, 680]","[1184.9999999999998, 1372.0000000000002, 1536.0000000000002, 1277.0, 1394.0, 1363.0, 1513.0, 1027.0, 1202.0, 1110.0, 1248.0, 1271.0, 1361.0, 871.0, 1352.0]","[0, 0, 0, 136, 136, 242, 136, 349, 322, 430, 322, 322, 322, 631, 613]","[26, 53, 697, 187, 241, 297, 697, 374, 430, 457, 511, 535, 697, 641, 697]",397560747.0,1536.0000000000002,-1536.0000000000002,0.0,,,,DWT,inu.32000013025095,0.0,,0.0,-18.0,78.0,0.0,-18,,2.2737367544323206e-13,515.6924731182796,51267.0,515.6924731182795,,0.0,515.6924731182796,,,828.0,0.0,-18.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,2.4016967426688557e-14,3.056590250399151e-27,0.9909752144933547,0.9388445616790668,0.026816280084271876,0.4793678037617104,0.05913974685377285,4.5079943175859e-08,5.4821043778986175e-09,5.4821043778986175e-09,5.344648330484805e-09,,0.0,0.9999999945180343,5.1339805635028733e-14,,,,,,0.0,1.0,1.0,8.115727364411779e-14,8.115727364411779e-14,0.7000000156757152,0.2238627527744737,40,1.2928185698238828,0.8159991687279826,41,0,0.25000000465892064,0.3044500938381707,38,0,0.3564490866960287,0.7607660502050547,44,2.5,0.9973794549266247,40.75,40.63665194581938,0.9773322851153039,10,rbio,349.31111111111113,186.0,339.9824285772627,135,0.436444275578872,1.0,0.39448900709478957,5,8.75,10
